%time,field.x,field.y,field.z
1583762851048974279,-0.0376008568691,-0.00890955615797,0.00016752431855
1583762851049682008,-0.0374787846354,-0.00878752924919,0.000164693296035
1583762851049742554,-0.0377228882095,-0.00878748891766,0.000165765454948
1583762851049786135,-0.0377228681181,-0.00866544209083,0.00016346307163
1583762851049949047,-0.0377228681181,-0.00866544209083,0.00016346307163
1583762851050039128,-0.0377228483077,-0.00854339519938,0.000161160691964
1583762851050091703,-0.0377228483077,-0.00854339519938,0.000161160691964
1583762851050219180,-0.0376002754614,-0.00854570965492,3.85877587749e-05
1583762851050256311,-0.0377223148988,-0.00842364957603,3.68068948677e-05
1583762851050306778,-0.0378448606415,-0.00829928115711,0.000157062216751
1583762851050398278,-0.037844342628,-0.00817954406571,3.27014035832e-05
1583762851050452834,-0.037844342628,-0.00817954406571,3.27014035832e-05
1583762851050504591,-0.0378438433613,-0.00818185371173,-8.93495974154e-05
1583762851050535864,-0.0377217923058,-0.00818185767745,-8.98490055684e-05
1583762851050602448,-0.037721292756,-0.00818415981704,-0.000211900289651
1583762851050635277,-0.0377217963817,-0.00830390475775,-8.75467592441e-05
1583762851050685038,-0.0377166436827,-0.00844897031532,-0.00130575851777
1583762851050723089,-0.0374710805604,-0.00833364243582,-0.00167523501539
1583762851050820617,-0.0367360792747,-0.0084663423834,-0.00228632373704
1583762851050891604,-0.0356346535149,-0.00872014453408,-0.00289692715885
1583762851050984410,-0.03453419502,-0.00860501034644,-0.00339208447339
1583762851051065544,-0.0334298149615,-0.00886773205635,-0.00461336682476
1583762851051128512,-0.0323271813134,-0.00863048944148,-0.00523222373301
1583762851051190274,-0.0311003178728,-0.00913265742775,-0.0063284671645
1583762851051337181,-0.0302396534939,-0.00963297584725,-0.00730150236936
1583762851051497874,-0.0293814701155,-0.00940013721203,-0.00828572373958
1583762851051624179,-0.0292548367587,-0.00965444637926,-0.00901509636378
1583762851051697406,-0.0291288024429,-0.0102677242215,-0.00925093701707
1583762851051755063,-0.0303528953249,-0.00990157175563,-0.00888396110523
1583762851051828419,-0.030963006877,-0.00954374433761,-0.00925272772318
1583762851051917260,-0.030963006877,-0.00954374433761,-0.00925272772318
