%time,field.data
1583762851049140927,200
1583762851049162089,200
1583762851049188068,189
1583762851049220001,200
1583762851049260593,200
1583762851049324092,189
1583762851049352774,179
1583762851049386156,189
1583762851049416682,189
1583762851049450191,179
1583762851049482018,179
1583762851049521962,189
1583762851049557398,189
1583762851049597483,619
1583762851049650642,694
1583762851049722948,533
1583762851049782299,426
1583762851049814043,544
1583762851049934357,587
1583762851050009973,737
1583762851050061356,834
1583762851050201318,694
1583762851050244723,630
1583762851050295860,146
1583762851050333178,372
1583762851050432195,361
1583762851050495059,340
1583762851050540544,436
1583762851050605895,340
1583762851050629614,447
1583762851050667072,125
1583762851050725076,329
1583762851050806294,125
1583762851050880499,157
1583762851050971085,114
1583762851051028368,232
1583762851051109378,179
1583762851051173733,189
1583762851051289596,157
1583762851051487668,436
1583762851051593571,222
1583762851051656392,275
1583762851051729433,318
1583762851051788063,157
1583762851051891418,297
1583762851051964014,136
1583762851052055289,436
1583762851052099923,179
1583762851052231702,265
1583762851052312716,157
1583762851052402035,168
1583762851052476755,179
1583762851052578706,286
1583762851052693553,168
1583762851052745963,82
1583762851052805598,157
1583762851165385883,136
1583762851239312556,179
1583762851341477104,211
1583762851437256197,265
1583762851536494038,297
1583762851647117489,361
1583762851742098779,179
1583762851837037018,415
1583762851941516165,351
1583762852037017182,329
1583762852140042211,243
1583762852241336470,318
1583762852336325882,490
1583762852438345334,254
1583762852543268772,243
1583762852640441471,447
1583762852754219706,275
1583762852841609105,200
1583762852934923330,-26
1583762853041383869,-294
1583762853141009305,-26
1583762853241399361,-101
1583762853335506825,-133
1583762853449432179,-36
1583762853536505153,-170
1583762853636611358,39
1583762853744616498,308
1583762853835778244,-4
1583762853942711672,50
1583762854040584374,189
1583762854143634933,93
1583762854236619020,136
1583762854341627254,136
1583762854452579767,93
1583762854537599597,146
1583762854643578112,71
1583762854753288893,93
1583762854844300979,157
1583762854943940989,146
1583762855043866863,82
1583762855142854670,82
1583762855245043853,82
1583762855343996412,93
1583762855436716769,71
1583762855544191321,82
