%time,field.data
1583762851051283087,21610
1583762851051470401,21718
1583762851051590670,21604
1583762851051649150,21616
1583762851051727197,21629
1583762851051783765,21541
1583762851051885974,21618
1583762851051959296,21699
1583762851052027774,21636
1583762851052096447,21530
1583762851052227102,21708
1583762851052298520,21531
1583762851052398013,21629
1583762851052473133,21602
1583762851052562427,21636
1583762851052689740,21617
1583762851052745639,21608
1583762851052802238,21628
1583762851162702654,21610
1583762851222448098,21633
1583762851319598932,21609
1583762851435314429,21621
1583762851523738735,21626
1583762851614707658,21618
1583762851734189388,21626
1583762851824270643,21608
1583762851919590060,21616
1583762852036873888,21620
1583762852135419556,21615
1583762852218994194,21623
1583762852319924920,21579
1583762852438273130,21673
1583762852541721801,21518
1583762852619678582,21701
1583762852734464377,21538
1583762852819867328,21710
1583762852914512141,20964
1583762853021561348,18176
1583762853140956333,15097
1583762853218802270,12035
1583762853335431560,8956
1583762853430717028,5888
1583762853516375195,2826
1583762853622881134,371
1583762853735074136,115
1583762853820904066,74
1583762853934710304,23
1583762854018617562,22
1583762854134609876,9
1583762854221888833,3
1583762854315121185,0
1583762854437602509,0
1583762854523216430,0
1583762854641614301,0
1583762854736530867,0
1583762854821608307,0
1583762854937396498,0
1583762855018738726,0
1583762855134122386,0
1583762855220494993,0
1583762855335373772,0
1583762855421830324,0
1583762855524227473,0
1583762855618703829,0
1583762855721771279,0
1583762855840853213,0
1583762855917271919,0
1583762856035421469,0
1583762856115909630,0
1583762856234599842,0
1583762856324920876,0
1583762856520715040,0
1583762856553193720,0
1583762856684465390,0
1583762856833304964,0
1583762856867727521,0
1583762857015563664,0
1583762857134171363,0
1583762857172685738,0
1583762857317778918,0
1583762857325400640,0
1583762857532975538,0
1583762857548078325,0
1583762857614382342,0
1583762857714287276,0
1583762857821652159,0
1583762857914134449,0
1583762858014323824,0
1583762858121734493,0
1583762858214488470,0
1583762858314288478,0
1583762858420840317,0
1583762858515182712,0
1583762858614347568,0
1583762858721348458,0
1583762858814585880,0
1583762858914449257,0
1583762859021611578,0
1583762859115187602,0
1583762859214409521,0
1583762859321244017,0
1583762859414901806,0
1583762859514373917,0
1583762859623880067,0
1583762859715815803,0
1583762859815343441,0
1583762859921457073,0
1583762860016996969,0
1583762860116362420,0
1583762860221554302,0
1583762860315675951,0
1583762860414331402,0
1583762860521256210,0
1583762860616907088,0
1583762860720889777,0
1583762860842225285,0
1583762860915088021,0
1583762861014360740,0
1583762861121447840,0
1583762861215539044,0
1583762861314732957,0
1583762861416008648,0
1583762861515061768,0
1583762861614176146,0
1583762861721521786,0
1583762861815348644,0
1583762861914217478,0
1583762862021447320,-459
1583762862115117592,-2373
1583762862215456053,-3613
1583762862322645746,-4129
1583762862421212199,-4389
1583762862518282881,-4530
1583762862615241179,-4606
1583762862715271164,-4647
1583762862815729772,-4669
1583762862921853561,-4681
1583762863015011609,-4702
1583762863113437856,-4683
1583762863222724627,-4709
1583762863316143806,-4694
1583762863414693469,-4691
1583762863523015193,-4699
1583762863615657966,-4678
1583762863714704233,-4690
1583762863813491079,-4697
1583762863915704801,-4719
1583762864014455520,-4680
1583762864127026199,-4709
1583762864317695682,-4690
1583762864330787058,-4693
