%time,field.data
1583762851050225278,624
1583762851050313263,764
1583762851050336345,517
1583762851050436458,377
1583762851050503282,216
1583762851050545500,345
1583762851050608804,312
1583762851050631794,334
1583762851050671806,409
1583762851050727829,484
1583762851050818031,162
1583762851050885846,269
1583762851050975905,366
1583762851051057679,269
1583762851051120932,388
1583762851051186363,452
1583762851051300037,431
1583762851051492311,173
1583762851051617288,334
1583762851051766144,141
1583762851051794612,463
1583762851051896548,269
1583762851051971228,259
1583762851052063136,173
1583762851052105272,334
1583762851052236709,248
1583762851052317372,184
1583762851052448209,484
1583762851052501639,237
1583762851052589174,409
1583762851052726240,345
1583762851052771209,538
1583762851052814368,388
1583762851055928198,452
1583762851056403084,377
1583762851165657935,345
1583762851239606370,388
1583762851341596719,560
1583762851437414037,527
1583762851536510539,398
1583762851647131448,624
1583762851742131713,216
1583762851837054404,345
1583762851941641475,474
1583762852047678787,312
1583762852140085907,323
1583762852241469420,259
1583762852336393751,409
1583762852456534008,269
1583762852543340586,205
1583762852640493468,302
1583762852754265644,366
1583762852841638801,484
1583762852960878079,-10
1583762853041436007,-10
1583762853146735512,-53
1583762853241453529,-42
1583762853351614066,-64
1583762853449582751,-150
1583762853572266705,-139
1583762853636637782,12
1583762853744736972,12
1583762853835803743,-10
1583762853942764739,-21
1583762854040688375,-10
1583762854143654779,-21
1583762854236694052,-10
1583762854354869726,12
1583762854452605058,12
1583762854553952738,1
1583762854643685737,12
1583762854753322199,12
1583762854844383622,-10
1583762854943973841,-21
1583762855043900997,22
1583762855142877115,12
1583762855245105392,22
1583762855344099178,1
1583762855436786464,-10
1583762855544239861,12
1583762855634934464,-21
1583762855735511317,12
1583762855853051656,-21
1583762855953047516,-21
1583762856051230617,-21
1583762856147735498,1
1583762856256632530,12
1583762856354316007,-10
1583762856543169931,-10
1583762856553250971,-21
1583762856684864700,-31
1583762856849469195,-10
1583762856867764870,22
1583762857015318808,22
1583762857165889754,1
1583762857173970519,-10
1583762857320945838,12
1583762857390119445,-10
1583762857533295104,12
1583762857549149041,1
1583762857635224034,-10
1583762857734522082,12
1583762857835508079,-21
1583762857940941774,-21
1583762858034667029,12
1583762858134451696,-10
1583762858235331742,12
1583762858334541443,1
1583762858434632383,-21
1583762858541321657,22
1583762858634783974,-21
1583762858734945593,12
1583762858843943077,-10
1583762858934579437,12
1583762859034766809,12
1583762859135045935,12
1583762859234693618,22
1583762859334454425,1
1583762859435454500,12
1583762859534434924,-10
1583762859636070147,12
1583762859735092600,12
1583762859836287069,-31
1583762859934828554,-10
1583762860044351513,1
1583762860136620240,12
1583762860235012184,-10
1583762860340982187,-21
1583762860435006545,-21
1583762860536119441,-10
1583762860635885994,-10
1583762860735649041,1
1583762860851072071,22
1583762860941744187,12
1583762861034702876,-10
1583762861134968645,12
1583762861235300833,1
1583762861334618257,1
1583762861435729513,1
1583762861540247917,-21
1583762861638473194,1
1583762861734514309,-10
1583762861835533156,1
1583762861937223362,1
1583762862035748749,98
1583762862135076838,860
1583762862234858540,463
1583762862334571422,248
1583762862441601889,549
1583762862535091971,248
1583762862635235363,495
1583762862735041016,194
1583762862834767886,366
1583762862936148672,248
1583762863040237725,366
1583762863133971004,323
1583762863236305697,334
1583762863341702836,291
1583762863436057801,291
1583762863534705044,355
1583762863641007532,495
1583762863738782575,345
1583762863833779327,484
1583762863935733414,227
1583762864033808828,334
1583762864134708989,141
1583762864318071192,65
1583762864335571149,141
1583762864437685059,162
1583762864542452941,130
1583762864635640749,269
1583762864737209013,237
1583762864841175347,119
1583762864935668771,216
1583762865035935197,291
1583762865141739318,-64
1583762865241061906,-289
1583762865343280373,22
1583762865441009675,-10
1583762865537569786,12
1583762865635581766,44
1583762865735619225,22
1583762865837558250,44
1583762865939898294,44
1583762866044300117,33
1583762866135874803,87
1583762866233885518,44
1583762866333723545,44
1583762866434835922,44
1583762866535528441,44
1583762866635921051,33
1583762866735932638,33
1583762866835818406,65
1583762866941741840,44
1583762867034242316,33
1583762867136590725,33
1583762867235611129,33
1583762867335940091,44
1583762867441539661,44
1583762867540191700,44
1583762867638540646,44
1583762867737258946,12
1583762867845626817,44
1583762867937737951,33
1583762868034919854,33
1583762868135468606,33
1583762868240149657,33
1583762868335259582,33
1583762868436481730,44
1583762868535924802,44
1583762868636587074,44
1583762868735183317,44
1583762868835105482,44
1583762868933831671,33
1583762869035019201,33
1583762869134601981,44
1583762869235755182,44
1583762869344677441,33
1583762869437822212,44
1583762869533731555,44
1583762869635683640,33
1583762869735467189,22
1583762869836875933,33
1583762869943923559,44
1583762870037467278,12
1583762870137708235,33
1583762870241719149,33
1583762870334948231,33
1583762870438378656,12
1583762870541612070,12
1583762870635653539,44
1583762870744575854,33
1583762870844706118,55
1583762870935873405,44
1583762871036598938,44
1583762871145907505,1
1583762871259326325,33
1583762871339439798,44
1583762871444852850,44
1583762871536141556,22
1583762871634642440,44
1583762871744707441,33
1583762871836206832,33
1583762871938298745,44
1583762872049899067,1
1583762872135794557,22
1583762872237930927,33
1583762872343049926,33
1583762872436456901,44
1583762872537212578,33
1583762872643653021,33
1583762872737368237,22
1583762872838071357,44
1583762872943189486,33
1583762873035795411,22
1583762873135306844,12
1583762873241532085,33
1583762873337100626,33
1583762873435967185,44
1583762873540801049,44
1583762873639115700,33
1583762873737731224,33
1583762873842132990,33
1583762873936934249,22
1583762874036934737,33
1583762874137673111,33
1583762874235849927,22
1583762874336264464,-136
1583762874445256822,-254
1583762874533980564,-189
1583762874636680883,-232
1583762874747683596,-727
1583762874838874528,-490
1583762874934117368,-297
1583762875045505472,-361
1583762875136301811,-576
1583762875234208248,-222
1583762875343328090,-351
1583762875435431590,-308
1583762875536145703,-404
1583762875644533955,-318
1583762875734314919,-394
1583762875835003257,-351
1583762875936032254,-415
1583762876034259964,-318
1583762876134145311,-93
1583762876243694770,-243
1583762876334601016,-71
1583762876435707966,-71
1583762876540744343,-318
1583762876635362551,-286
1583762876734160129,-308
1583762876841497237,-480
1583762876936667637,-200
1583762877040816044,-308
1583762877142958529,-168
1583762877238965727,-168
1583762877334813847,-297
1583762877435898454,-211
1583762877534273066,-329
1583762877635267161,-308
1583762877741570883,-254
1583762877836647651,-254
1583762877935636708,-415
1583762878040362601,-243
1583762878151780819,-308
1583762878237518140,-415
1583762878344340539,-340
1583762878438505845,-254
1583762878545106111,-308
1583762878641495108,-189
1583762878742915743,-265
1583762878859986147,-211
1583762878945931488,-361
1583762879035708541,-265
1583762879137157046,-275
1583762879246177165,-340
1583762879337256905,-404
1583762879437757558,-222
1583762879586920926,-275
1583762879818235979,-286
1583762879841486838,-340
1583762879847364872,-297
1583762879937024025,-275
1583762880040588998,-372
1583762880143851326,-243
