%time,field.data
1583762851052321097,-356
1583762851052452718,-535
1583762851052506686,-378
1583762851052592507,-563
1583762851052727402,-485
1583762851052871954,-320
1583762851056719077,-331
1583762851165790839,-307
1583762851239649988,-424
1583762851356979885,-456
1583762851437608609,-417
1583762851536802138,-394
1583762851647169717,-390
1583762851742135127,-140
1583762851837059629,-182
1583762851947307248,-214
1583762852047685945,-330
1583762852140210758,-233
1583762852241482717,-227
1583762852346112358,-452
1583762852456557283,-217
1583762852543329426,-294
1583762852640528620,-403
1583762852754262349,-351
1583762852841645447,-516
1583762852960914241,21
1583762853041447308,4
1583762853146763524,51
1583762853241540210,43
1583762853351681580,55
1583762853449596276,164
1583762853572291577,126
1583762853636640987,-15
1583762853744747383,-9
1583762853835838481,-14
1583762853942761399,-19
1583762854040730013,-26
1583762854143801182,-17
1583762854236734712,-11
1583762854354903169,-5
1583762854452682896,0
1583762854553985170,0
1583762854643743578,0
1583762854753331508,0
1583762854844410410,0
1583762854943994502,0
1583762855043901247,0
1583762855142883882,0
1583762855245166456,0
1583762855344112693,0
1583762855436834772,0
1583762855544277186,0
1583762855653727513,0
1583762855754036196,0
1583762855853072537,0
1583762855960914814,0
1583762856051289858,0
1583762856147742021,0
1583762856256639262,0
1583762856354544360,0
1583762856543321730,0
1583762856561712358,0
1583762856687465659,0
1583762856849479033,0
1583762856867842552,0
1583762857015898110,0
1583762857165902415,0
1583762857173997841,0
1583762857320954775,0
1583762857390133906,0
1583762857533301192,0
1583762857550209744,0
1583762857635305009,0
1583762857734513762,0
1583762857835537206,0
1583762857940947531,0
1583762858034859887,0
1583762858134484441,0
1583762858235373185,0
1583762858334586723,0
1583762858434664285,0
1583762858541335011,0
1583762858634825126,0
1583762858734958500,0
1583762858843977095,0
1583762858934616757,0
1583762859034834168,0
1583762859135053240,0
1583762859234734741,0
1583762859334487230,0
1583762859435473991,0
1583762859534444966,0
1583762859636139146,0
1583762859735099454,0
1583762859836348703,0
1583762859934839852,0
1583762860044385892,0
1583762860136625064,0
1583762860235033096,0
1583762860340997432,0
1583762860435106787,0
1583762860536139776,0
1583762860635934073,0
1583762860735658846,0
1583762860851098798,0
1583762860941787469,0
1583762861034760159,0
1583762861134994006,0
1583762861235357086,0
1583762861334642370,0
1583762861435770025,0
1583762861540285616,0
1583762861638492915,0
1583762861734523458,0
1583762861835589697,0
1583762861937244396,0
1583762862035763860,-86
1583762862135087934,-701
1583762862234969462,-580
1583762862334592152,-229
1583762862442549144,-518
1583762862535129583,-286
1583762862635288717,-440
1583762862735061759,-212
1583762862834840105,-358
1583762862936212589,-288
1583762863040254016,-374
1583762863134019831,-334
