%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1583762851052078644,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052192371,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052288459,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052383961,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052463368,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052539686,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052638259,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052738050,0.2,0.0,0.0,0.0,0.0,0.0
1583762851052795644,0.2,0.0,0.0,0.0,0.0,0.0
1583762851085786371,0.2,0.0,0.0,0.0,0.0,0.0
1583762851185790495,0.2,0.0,0.0,0.0,0.0,0.0
1583762851285875438,0.2,0.0,0.0,0.0,0.0,0.0
1583762851385670163,0.2,0.0,0.0,0.0,0.0,0.0
1583762851485916936,0.2,0.0,0.0,0.0,0.0,0.0
1583762851585704478,0.2,0.0,0.0,0.0,0.0,0.0
1583762851685926822,0.2,0.0,0.0,0.0,0.0,0.0
1583762851785733459,0.2,0.0,0.0,0.0,0.0,0.0
1583762851885875684,0.2,0.0,0.0,0.0,0.0,0.0
1583762851985744231,0.2,0.0,0.0,0.0,0.0,0.0
1583762852085922528,0.2,0.0,0.0,0.0,0.0,0.0
1583762852185702132,0.2,0.0,0.0,0.0,0.0,0.0
1583762852285921366,0.2,0.0,0.0,0.0,0.0,0.0
1583762852385708840,0.2,0.0,0.0,0.0,0.0,0.0
1583762852485891437,0.2,0.0,0.0,0.0,0.0,0.0
1583762852585734335,0.2,0.0,0.0,0.0,0.0,0.0
1583762852688258634,0.0,0.0,0.0,0.0,0.0,0.0
1583762852785748550,0.0,0.0,0.0,0.0,0.0,0.0
1583762852887178994,0.0,0.0,0.0,0.0,0.0,0.0
1583762852985736991,0.0,0.0,0.0,0.0,0.0,0.0
1583762853085935724,0.0,0.0,0.0,0.0,0.0,0.0
1583762853185724498,0.0,0.0,0.0,0.0,0.0,0.0
1583762853285931351,0.0,0.0,0.0,0.0,0.0,0.0
1583762853385804386,0.0,0.0,0.0,0.0,0.0,0.0
1583762853485857931,0.0,0.0,0.0,0.0,0.0,0.0
1583762853585727058,0.0,0.0,0.0,0.0,0.0,0.0
1583762853685914812,0.0,0.0,0.0,0.0,0.0,0.0
1583762853785731219,0.0,0.0,0.0,0.0,0.0,0.0
1583762853885890782,0.0,0.0,0.0,0.0,0.0,0.0
1583762853985705861,0.0,0.0,0.0,0.0,0.0,0.0
1583762854086165191,0.0,0.0,0.0,0.0,0.0,0.0
1583762854185764906,0.0,0.0,0.0,0.0,0.0,0.0
1583762854285891953,0.0,0.0,0.0,0.0,0.0,0.0
1583762854385849249,0.0,0.0,0.0,0.0,0.0,0.0
1583762854486183755,0.0,0.0,0.0,0.0,0.0,0.0
1583762854585750735,0.0,0.0,0.0,0.0,0.0,0.0
1583762854686724993,0.0,0.0,0.0,0.0,0.0,0.0
1583762854785762289,0.0,0.0,0.0,0.0,0.0,0.0
1583762854886230406,0.0,0.0,0.0,0.0,0.0,0.0
1583762854985809579,0.0,0.0,0.0,0.0,0.0,0.0
1583762855086064786,0.0,0.0,0.0,0.0,0.0,0.0
1583762855185720955,0.0,0.0,0.0,0.0,0.0,0.0
1583762855286319509,0.0,0.0,0.0,0.0,0.0,0.0
1583762855385730320,0.0,0.0,0.0,0.0,0.0,0.0
1583762855485988590,0.0,0.0,0.0,0.0,0.0,0.0
1583762855585742930,0.0,0.0,0.0,0.0,0.0,0.0
1583762855686647228,0.0,0.0,0.0,0.0,0.0,0.0
1583762855785709470,0.0,0.0,0.0,0.0,0.0,0.0
1583762855886041092,0.0,0.0,0.0,0.0,0.0,0.0
1583762855985741282,0.0,0.0,0.0,0.0,0.0,0.0
1583762856086402696,0.0,0.0,0.0,0.0,0.0,0.0
1583762856185734024,0.0,0.0,0.0,0.0,0.0,0.0
1583762856286107536,0.0,0.0,0.0,0.0,0.0,0.0
1583762856385752844,0.0,0.0,0.0,0.0,0.0,0.0
1583762856486288435,0.0,0.0,0.0,0.0,0.0,0.0
1583762856585770539,0.0,0.0,0.0,0.0,0.0,0.0
1583762856686019968,0.0,0.0,0.0,0.0,0.0,0.0
1583762856785725506,0.0,0.0,0.0,0.0,0.0,0.0
1583762856886123660,0.0,0.0,0.0,0.0,0.0,0.0
1583762856985707213,0.0,0.0,0.0,0.0,0.0,0.0
1583762857086179324,0.0,0.0,0.0,0.0,0.0,0.0
1583762857185779664,0.0,0.0,0.0,0.0,0.0,0.0
1583762857285976324,0.0,0.0,0.0,0.0,0.0,0.0
1583762857385872567,0.0,0.0,0.0,0.0,0.0,0.0
1583762857486160253,0.0,0.0,0.0,0.0,0.0,0.0
1583762857585777084,0.0,0.0,0.0,0.0,0.0,0.0
1583762857685956673,0.0,0.0,0.0,0.0,0.0,0.0
1583762857785765809,0.0,0.0,0.0,0.0,0.0,0.0
1583762857886088069,0.0,0.0,0.0,0.0,0.0,0.0
1583762857985748301,0.0,0.0,0.0,0.0,0.0,0.0
1583762858086182174,0.0,0.0,0.0,0.0,0.0,0.0
1583762858185763194,0.0,0.0,0.0,0.0,0.0,0.0
1583762858286050576,0.0,0.0,0.0,0.0,0.0,0.0
1583762858385831523,0.0,0.0,0.0,0.0,0.0,0.0
1583762858486617263,0.0,0.0,0.0,0.0,0.0,0.0
1583762858585727108,0.0,0.0,0.0,0.0,0.0,0.0
1583762858686369358,0.0,0.0,0.0,0.0,0.0,0.0
1583762858785855223,0.0,0.0,0.0,0.0,0.0,0.0
1583762858886155965,0.0,0.0,0.0,0.0,0.0,0.0
1583762858985810679,0.0,0.0,0.0,0.0,0.0,0.0
1583762859086009392,0.0,0.0,0.0,0.0,0.0,0.0
1583762859185739645,0.0,0.0,0.0,0.0,0.0,0.0
1583762859286055129,0.0,0.0,0.0,0.0,0.0,0.0
1583762859385765088,0.0,0.0,0.0,0.0,0.0,0.0
1583762859486626584,0.0,0.0,0.0,0.0,0.0,0.0
1583762859585731735,0.0,0.0,0.0,0.0,0.0,0.0
1583762859686141026,0.0,0.0,0.0,0.0,0.0,0.0
1583762859785744128,0.0,0.0,0.0,0.0,0.0,0.0
1583762859886241846,0.0,0.0,0.0,0.0,0.0,0.0
1583762859985831080,0.0,0.0,0.0,0.0,0.0,0.0
1583762860086301495,0.0,0.0,0.0,0.0,0.0,0.0
1583762860185734187,0.0,0.0,0.0,0.0,0.0,0.0
1583762860286065046,0.0,0.0,0.0,0.0,0.0,0.0
1583762860385717249,0.0,0.0,0.0,0.0,0.0,0.0
1583762860486159414,0.0,0.0,0.0,0.0,0.0,0.0
1583762860585755940,0.0,0.0,0.0,0.0,0.0,0.0
1583762860686262936,0.0,0.0,0.0,0.0,0.0,0.0
1583762860785733513,0.0,0.0,0.0,0.0,0.0,0.0
1583762860886046329,0.0,0.0,0.0,0.0,0.0,0.0
1583762860985752817,0.0,0.0,0.0,0.0,0.0,0.0
1583762861086151259,0.0,0.0,0.0,0.0,0.0,0.0
1583762861185764127,0.0,0.0,0.0,0.0,0.0,0.0
1583762861286160784,0.0,0.0,0.0,0.0,0.0,0.0
1583762861385738517,0.0,0.0,0.0,0.0,0.0,0.0
1583762861486107444,0.0,0.0,0.0,0.0,0.0,0.0
1583762861585836163,0.0,0.0,0.0,0.0,0.0,0.0
1583762861686147671,0.0,0.0,0.0,0.0,0.0,0.0
1583762861785753275,0.0,0.0,0.0,0.0,0.0,0.2
1583762861886016947,0.0,0.0,0.0,0.0,0.0,0.2
1583762861985773672,0.0,0.0,0.0,0.0,0.0,0.2
1583762862085973485,0.0,0.0,0.0,0.0,0.0,0.2
1583762862185770813,0.0,0.0,0.0,0.0,0.0,0.2
1583762862286010040,0.0,0.0,0.0,0.0,0.0,0.2
1583762862385780704,0.0,0.0,0.0,0.0,0.0,0.2
1583762862485872732,0.0,0.0,0.0,0.0,0.0,0.2
1583762862585727277,0.0,0.0,0.0,0.0,0.0,0.2
1583762862685881681,0.0,0.0,0.0,0.0,0.0,0.2
1583762862785821518,0.0,0.0,0.0,0.0,0.0,0.2
1583762862885967314,0.0,0.0,0.0,0.0,0.0,0.2
1583762862985731736,0.0,0.0,0.0,0.0,0.0,0.2
1583762863085875682,0.0,0.0,0.0,0.0,0.0,0.2
1583762863185814280,0.0,0.0,0.0,0.0,0.0,0.2
1583762863285957787,0.0,0.0,0.0,0.0,0.0,0.2
1583762863385762459,0.0,0.0,0.0,0.0,0.0,0.2
1583762863485854931,0.0,0.0,0.0,0.0,0.0,0.2
1583762863585789395,0.0,0.0,0.0,0.0,0.0,0.2
1583762863686099286,0.0,0.0,0.0,0.0,0.0,0.2
1583762863785767080,0.0,0.0,0.0,0.0,0.0,0.2
1583762863885952112,0.0,0.0,0.0,0.0,0.0,0.2
1583762863985757035,0.0,0.0,0.0,0.0,0.0,0.2
1583762864085923236,0.0,0.0,0.0,0.0,0.0,0.2
1583762864185772911,0.0,0.0,0.0,0.0,0.0,0.2
1583762864285885372,0.0,0.0,0.0,0.0,0.0,0.2
