%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1583762851048810017,196,1583762845089366024,odom,0.0,0.0,0.0,0.00438230445487,-0.0187406140107,0.000205354307022,0.999814754154,2.17601191252e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.17601191252e-05,0.0,0.0,0.0,0.0,0.0,0.0,197000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.28850905011e-10
1583762851048867928,197,1583762845189366024,odom,0.0,0.0,0.0,0.00438230445487,-0.0187406140107,0.000205354307022,0.999814754154,1.00000761449e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.00000761449e-05,0.0,0.0,0.0,0.0,0.0,0.0,198000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648108e-10
1583762851048991562,198,1583762845289366024,odom,0.0,0.0,0.0,0.00444329338365,-0.0188016621858,0.000144320882242,0.999813349488,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,199000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583762851049695760,199,1583762845389366024,odom,0.0,0.0,0.0,0.0043823044961,-0.0187406140379,0.000144321045648,0.999814764826,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583762851049752504,200,1583762845489366024,odom,0.0,0.0,0.0,0.00438221485319,-0.018862640693,0.000144320729882,0.999812470492,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,201000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583762851049795777,201,1583762845589366024,odom,0.0,0.0,0.0,0.00432118117335,-0.0188626059238,0.000144320735028,0.999812736798,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,202000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583762851049862506,202,1583762845689366024,odom,0.0,0.0,0.0,0.00432118117335,-0.0188626059238,0.000144320735027,0.999812736798,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,203000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583762851050092703,203,1583762845741883007,odom,0.0,0.0,0.0,0.00430823273167,-0.0188625985385,0.00014432073605,0.999812792816,2.7579953894e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.7579953894e-06,0.0,0.0,0.0,0.0,0.0,0.0,204000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97048647468e-11
1583762851050099159,204,1583762845889366024,odom,0.0,0.0,0.0,0.00426014744514,-0.0188625710844,0.000144320739636,0.999812999379,2.17513879761e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.17513879761e-05,0.0,0.0,0.0,0.0,0.0,0.0,205000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.28592678468e-10
1583762851050281708,205,1583762845989366024,odom,0.0,0.0,0.0,0.00426019215969,-0.018801557787,8.32876737065e-05,0.999814155356,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,206000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648108e-10
