%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1583762851049642410,21,1583762846751853568,,2,/record_1583762844457081538,Subscribing to /rosout,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851049646892,22,1583762846933784293,,2,/record_1583762844457081538,Subscribing to /robomuse_diff/parameter_updates,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851049765627,23,1583762847120370178,,2,/record_1583762844457081538,Subscribing to /rmotor_current,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851049780674,0,1583762818361041729,,4,/robot_state_publisher,The 'state_publisher' executable is deprecated. Please use 'robot_state_publisher' instead,/tmp/binarydeb/ros-kinetic-robot-state-publisher-1.13.7/src/joint_state_listener.cpp,main,171,/rosout
1583762851049797871,0,1583762818585961988,,2,/laser_scan_matcher_node,Starting LaserScanMatcher,/tmp/binarydeb/ros-kinetic-laser-scan-matcher-0.3.2/src/laser_scan_matcher.cpp,LaserScanMatcher::LaserScanMatcher,53,/rosout,/tf
1583762851049807547,13,1583762817740522536,,2,/robomuse_hw,Dynamic Reconfigure:
DynamicParams:
	Odometry parameters:
		left wheel radius: 1
		right wheel radius: 1
		wheel separation: 1
	Publication parameters:
		Publish executed velocity command: 0
		Publication rate: 10
		Publish frame odom on tf: 1,/tmp/binarydeb/ros-kinetic-diff-drive-controller-0.13.6/src/diff_drive_controller.cpp,DiffDriveController::reconfCallback,700,/rosout,/lmotor_cmd,/rmotor_cmd,/lwheel_ticks,/rwheel_ticks,/robomuse_diff/odom,/tf,/robomuse_diff/parameter_descriptions,/robomuse_diff/parameter_updates
1583762851049954165,0,1583762842906516777,,2,/odometry_calibration_service,Odometry Calibration Service READY,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,calibrate_function,73,/rosout
1583762851050212797,8,1583762818046277999,,2,/controller_spawner,Started controllers: robomuse_diff, robomuse,spawner,main,201,/rosout
1583762851050290609,4,1583762820015245914,,8,/quat_euler_interconversion,bad callback: <bound method angle_class.posestampCallback of <__main__.angle_class instance at 0x7f2cfe7a3368>>
Traceback (most recent call last):
  File "/opt/ros/kinetic/lib/python2.7/dist-packages/rospy/topics.py", line 750, in _invoke_callback
    cb(msg)
  File "/home/shashwat/rm100/robomuse_v/install_isolated/lib/robomuse_calibration/quat_euler_interconversion.py", line 127, in posestampCallback
    self.hokuyo_msg.header.seq = msg.header.seq
AttributeError: angle_class instance has no attribute 'hokuyo_msg'
,topics.py,_invoke_callback,753,/imu_euler,/rosout,/robomuse_diff/odom,/robot_pose_ekf/odom_combined,/imu,/odom_ekf_yaw,/hokuyo_pose_stamped,/vo,/odom_yaw
1583762851050470071,2,1583762819670624971,,2,/odometry_calibrated,node /odometry_calibrated has started,odometry_calibrated.py,__init__,20,/rosout
1583762851050657194,5,1583762823508542060,,2,/serial_node_imu,Setup publisher on imu [sensor_msgs/Imu],SerialClient.py,setupPublisher,578,/diagnostics,/imu,/rosout
1583762851050715989,4,1583761595014773061,,2,/urg_node_front,Streaming data.,/home/robomuse/src/dependencies/urg_node/src/urg_node_driver.cpp,UrgNode::scanThread,486,/rosout,/scan_filtered,/laser_status,/diagnostics,/urg_node_front/parameter_descriptions,/urg_node_front/parameter_updates
1583762851050915361,6,1583762825055182740,,2,/robot_pose_ekf,Kalman filter initialized with odom measurement,/tmp/binarydeb/ros-kinetic-robot-pose-ekf-1.14.5/src/odom_estimation_node.cpp,OdomEstimationNode::spin,484,/rosout,/tf,/robot_pose_ekf/odom_combined
1583762851051018930,24,1583762847354224579,,2,/record_1583762844457081538,Subscribing to /scan_filtered,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851051169013,25,1583762847593950996,,2,/record_1583762844457081538,Subscribing to /rosout_agg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851051452011,26,1583762847791893810,,2,/record_1583762844457081538,Subscribing to /point_vals,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851051636876,27,1583762848056871561,,2,/record_1583762844457081538,Subscribing to /chatter,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851051947066,28,1583762848283472804,,2,/record_1583762844457081538,Subscribing to /robomuse_diff/calibrated_odometry,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851052006608,29,1583762848480061993,,2,/record_1583762844457081538,Subscribing to /laser_status,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851052142161,30,1583762848626378540,,2,/record_1583762844457081538,Subscribing to /lmotor_current_avg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851052441395,31,1583762848857770821,,2,/record_1583762844457081538,Subscribing to /lwheel,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851052658713,32,1583762849023992052,,2,/record_1583762844457081538,Subscribing to /lmotor_cmd,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851055810325,33,1583762849232302385,,2,/record_1583762844457081538,Subscribing to /rmotor_cmd,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851055824325,34,1583762849396602456,,2,/record_1583762844457081538,Subscribing to /lwheel_ticks,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851056071949,35,1583762849581836477,,2,/record_1583762844457081538,Subscribing to /odom_yaw,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851056427636,36,1583762849765990202,,2,/record_1583762844457081538,Subscribing to /robomuse_diff/parameter_descriptions,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851056982088,37,1583762849891355506,,2,/record_1583762844457081538,Subscribing to /robomuse_diff/cmd_vel,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851056992429,38,1583762850059849832,,2,/record_1583762844457081538,Subscribing to /rmotor_current_avg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851057013488,39,1583762850261748866,,2,/record_1583762844457081538,Subscribing to /odom_ekf_yaw,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851063620317,40,1583762850453712557,,2,/record_1583762844457081538,Subscribing to /rwheel,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851063726622,41,1583762850791097836,,2,/record_1583762844457081538,Subscribing to /odometry_calibrated/parameter_updates,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762852688158698,1,1583762852685636894,,2,/odometry_calibration_service,20 percent calibration complete,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,calibration_protocol,164,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854486236598,2,1583762854485687729,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273691,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854486282721,3,1583762854485812352,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.230515,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854486297212,4,1583762854485921518,,2,/odometry_calibration_service,No. of Values at point P1= 1,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854686762480,5,1583762854685665221,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273691,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854686780412,6,1583762854685752592,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.230648,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854886284494,7,1583762854685815771,,2,/odometry_calibration_service,No. of Values at point P1= 2,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854886300790,8,1583762854885701843,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854886337663,9,1583762854885819315,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.230383,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762854886412618,10,1583762854885958724,,2,/odometry_calibration_service,No. of Values at point P1= 3,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
