%time,field.data
1583762851162736836,21771
1583762851222460838,21625
1583762851341448453,21526
1583762851435353031,21715
1583762851535067642,21624
1583762851643556865,21518
1583762851734194074,21664
1583762851836765531,21690
1583762851941485621,21612
1583762852036908655,21538
1583762852135439790,21708
1583762852241310996,21542
1583762852336308739,21601
1583762852438300415,21641
1583762852541751354,21702
1583762852640336335,21615
1583762852734488091,21522
1583762852819905575,21706
1583762852934898789,21110
1583762853021597840,18490
1583762853140964089,15337
1583762853218857278,12253
1583762853335453068,9192
1583762853449403786,6111
1583762853536490703,3068
1583762853636408683,464
1583762853735093290,129
1583762853835720247,70
1583762853934742059,37
1583762854040547116,20
1583762854134609805,9
1583762854236570493,2
1583762854341604866,1
1583762854437656012,0
1583762854537491630,0
1583762854641640652,0
1583762854736575599,0
1583762854821644279,0
1583762854937407607,0
1583762855043777409,0
1583762855134137496,0
1583762855245021597,0
1583762855335385539,0
1583762855436662576,0
1583762855524244045,0
1583762855634617354,0
1583762855735428738,0
1583762855840874665,0
1583762855934743463,0
1583762856035489158,0
1583762856134970774,0
1583762856234632924,0
1583762856335698597,0
1583762856521859763,0
1583762856553212449,0
1583762856684480436,0
1583762856849308035,0
1583762856867784472,0
1583762857015623752,0
1583762857135771235,0
1583762857172818997,0
1583762857317794039,0
1583762857325437304,0
1583762857533266138,0
1583762857549381087,0
1583762857618566757,0
1583762857718473997,0
1583762857822862236,0
1583762857918057707,0
1583762858019909512,0
1583762858121756676,0
1583762858218443815,0
1583762858318339720,0
1583762858423619598,0
1583762858518430795,0
1583762858618385027,0
1583762858722751942,0
1583762858819351984,0
1583762858918773951,0
1583762859021642270,0
1583762859118164826,0
1583762859218295787,0
1583762859321644772,0
1583762859418162942,0
1583762859518256135,0
1583762859623880077,0
1583762859719120469,0
1583762859818580776,0
1583762859923082504,0
1583762860019397981,0
1583762860118670441,0
1583762860222591203,0
1583762860334599684,0
1583762860418413746,0
1583762860521377494,0
1583762860619028767,0
1583762860725037519,0
1583762860850984485,0
1583762860921817675,0
1583762861018266687,0
1583762861121590287,0
1583762861218428301,0
1583762861324732191,0
1583762861418565509,0
1583762861519433856,0
1583762861618405363,0
1583762861723571598,0
1583762861818448391,0
1583762861918208233,0
1583762862021478447,377
1583762862118992590,2170
1583762862218742221,3628
1583762862322647218,4094
1583762862421243296,4360
1583762862518955564,4541
1583762862620451758,4617
1583762862720153342,4659
1583762862818581067,4657
1583762862923392004,4698
1583762863017628685,4625
1583762863117809659,4718
1583762863225496828,4752
1583762863322032023,4685
1583762863418786349,4695
1583762863523507012,4688
1583762863619757565,4687
1583762863720823541,4709
1583762863824246294,4628
1583762863919019489,4780
1583762864020173132,4629
1583762864128265637,4773
1583762864317993521,4718
1583762864331046508,4664
1583762864426391905,4707
1583762864527023471,4713
1583762864622962887,4666
1583762864732046960,4700
1583762864819438802,4731
1583762864923079019,4682
1583762865023977158,4692
1583762865125471496,4203
1583762865224386519,2158
1583762865333683369,1081
1583762865418751869,591
1583762865521294349,316
1583762865621905404,169
1583762865717441089,93
1583762865817541142,47
1583762865923997263,25
1583762866018672492,12
1583762866118590226,3
1583762866221851551,0
1583762866318180537,0
1583762866419571520,0
1583762866522394580,0
1583762866617636152,1
1583762866720608581,0
1583762866822912995,0
1583762866919030334,0
1583762867017786089,0
1583762867123549151,0
1583762867217871981,0
1583762867321379374,1
1583762867427973327,0
1583762867520940871,0
1583762867623252805,0
1583762867725326639,0
1583762867818800655,0
1583762867919031437,0
1583762868024060300,0
1583762868119569565,1
1583762868220683620,0
1583762868335095828,0
1583762868419891920,0
1583762868520213240,0
1583762868623626570,0
1583762868719647729,0
1583762868833761367,0
1583762868928758670,0
1583762869020000990,0
1583762869118365678,0
1583762869223931751,0
1583762869323164955,0
1583762869423126752,0
1583762869525319774,0
1583762869618873185,0
1583762869720372355,0
1583762869823980771,0
1583762869919561983,0
1583762870020123485,0
1583762870123821417,0
1583762870219968900,0
1583762870319201203,0
1583762870422985476,0
1583762870523087242,0
1583762870619316129,0
1583762870722635094,0
1583762870820083583,0
1583762870921538245,0
1583762871022851538,0
1583762871120838563,0
1583762871221583691,0
1583762871323116139,0
1583762871421296211,0
1583762871520386959,0
1583762871619076348,0
1583762871722614407,0
1583762871823022706,0
1583762871922751885,0
1583762872022241460,0
1583762872119635790,1
1583762872222172496,0
1583762872319445509,0
1583762872419221625,0
1583762872522763420,0
1583762872620121793,0
1583762872720336327,0
1583762872822123036,0
1583762872918036475,0
1583762873022787249,0
1583762873123694411,0
1583762873219167558,0
1583762873320025149,0
1583762873423038582,0
1583762873518392250,0
1583762873619712170,0
1583762873723896910,1
1583762873820389481,0
1583762873920465901,0
1583762874022606650,0
1583762874117999754,0
1583762874218899887,0
1583762874323859276,-364
1583762874420239539,-2235
1583762874519200583,-3548
1583762874624308248,-4083
1583762874720092377,-4353
1583762874820254258,-4507
1583762874922649411,-4660
1583762875019141304,-4631
1583762875119183822,-4662
1583762875222632744,-4699
1583762875319243236,-4707
1583762875419453892,-4682
1583762875522473986,-4687
1583762875619249178,-4726
1583762875718157610,-4665
1583762875825383802,-4706
1583762875918087683,-4688
1583762876019202044,-4704
1583762876121527000,-4704
1583762876220274539,-4724
1583762876318018183,-4691
1583762876424743450,-4697
1583762876518073789,-4652
1583762876617989853,-4728
1583762876717859865,-4681
1583762876819986162,-4717
1583762876918713660,-4683
1583762877021872319,-4707
1583762877123063240,-4721
1583762877220541808,-4684
1583762877326614674,-4673
1583762877418155598,-4727
1583762877519370386,-4682
1583762877622707447,-4702
1583762877719933131,-4698
1583762877820799511,-4698
1583762877923391651,-4678
1583762878023234511,-4718
1583762878117988509,-4695
1583762878221748779,-4683
1583762878320477338,-4723
1583762878420144500,-4680
1583762878522553221,-4693
1583762878618391372,-4709
1583762878720289692,-4693
1583762878822612782,-4715
1583762878920140644,-4668
1583762879019438414,-4712
1583762879123793814,-4686
1583762879220626484,-4714
1583762879320606000,-4687
1583762879420312950,-4719
1583762879527659655,-4687
1583762879663202539,-4694
1583762879818533298,-4696
1583762879843571633,-4717
1583762879919947076,-4683
1583762880023538141,-4690
1583762880120400626,-4726
1583762880220613494,-4666
1583762880323057880,-4707
1583762880420289197,-4187
1583762880528323478,-2120
1583762880620200979,-1106
1583762880729042904,-580
1583762880830939500,-317
1583762880919376209,-169
1583762881020561349,-94
1583762881118251811,-48
1583762881220541019,-27
1583762881319390985,-11
1583762881419277590,-3
1583762881523900197,0
1583762881623720558,0
1583762881720560665,0
1583762881819598647,0
1583762881919580790,-1
1583762882020827893,0
1583762882123389411,0
1583762882223053137,0
1583762882330848209,0
1583762882431034332,0
1583762882522037396,0
1583762882619059106,0
1583762882722545293,0
1583762882820999689,0
1583762882922058222,0
1583762883027013939,0
1583762883119980664,0
1583762883219649278,0
1583762883320803340,0
1583762883419828951,0
1583762883520872269,0
1583762883621484678,0
1583762883721465040,0
1583762883820780484,0
1583762883920615702,0
1583762884021682304,0
1583762884121035078,0
1583762884221702540,0
1583762884320549319,0
1583762884421019763,0
1583762884521354591,0
1583762884620493901,0
1583762884720251517,0
1583762884821704613,0
1583762884920426286,0
1583762885023517509,0
1583762885126836051,0
1583762885220336888,0
1583762885320388736,0
1583762885420972315,0
1583762885519765996,0
1583762885618472907,0
1583762885967643096,0
1583762885967685517,0
1583762885967700002,0
1583762886021811435,0
1583762886119713204,0
1583762886220719665,0
1583762886323584544,0
1583762886421123136,0
1583762886524265820,0
1583762886626182283,0
1583762886720622013,0
1583762886821814330,0
1583762886922139788,0
1583762887024008414,0
1583762887122492596,0
1583762887222463455,0
1583762887326955315,0
1583762887419790752,0
