%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.position0,field.position1,field.velocity0,field.velocity1,field.effort0,field.effort1
1583763060239052642,266,1583763054096165548,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060239118277,267,1583763054196180478,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060239226231,268,1583763054296202991,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060239721156,269,1583763054396177262,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060239757925,270,1583763054496190811,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060239803378,271,1583763054596187132,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060239952772,272,1583763054696172681,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060239968479,273,1583763054796182037,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060240003141,274,1583763054896191348,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060240174129,275,1583763054996219198,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060241852799,276,1583763055096196729,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060241919657,277,1583763055196173492,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060242046199,278,1583763055296190391,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060242170907,279,1583763055396191164,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060242992484,280,1583763055496196788,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060243201041,281,1583763055596184490,,chassis_to_left_wheel,chassis_to_right_wheel,0.0,0.0,0.0,0.0,0.0,0.0
1583763060243513042,282,1583763055696211650,,chassis_to_left_wheel,chassis_to_right_wheel,0.002458368,0.004186908,0.0,0.0,0.0,0.0
1583763060243587283,283,1583763055796190127,,chassis_to_left_wheel,chassis_to_right_wheel,0.0236080152,0.0299844072,0.0,0.0,0.0,0.0
1583763060243827526,284,1583763055896193255,,chassis_to_left_wheel,chassis_to_right_wheel,0.07164183708,0.08342087688,0.0,0.0,0.0,0.0
1583763060243969408,285,1583763055996186393,,chassis_to_left_wheel,chassis_to_right_wheel,0.150355553832,0.167368612752,0.0,0.0,0.0,0.0
1583763060244017118,286,1583763056096195871,,chassis_to_left_wheel,chassis_to_right_wheel,0.260940951533,0.283591125101,0.0,0.0,0.0,0.0
1583763060244256929,287,1583763056196198742,,chassis_to_left_wheel,chassis_to_right_wheel,0.403797920613,0.43219843204,0.0,0.0,0.0,0.0
1583763060244801318,288,1583763056296198310,,chassis_to_left_wheel,chassis_to_right_wheel,0.579230462245,0.613906750816,0.0,0.0,0.0,0.0
