%time,field.data
1583763060238037386,189
1583763060238057057,200
1583763060238074798,189
1583763060238142289,189
1583763060238189416,200
1583763060238229692,200
1583763060238276148,189
1583763060238344499,200
1583763060238374451,189
1583763060238419931,200
1583763060238452280,200
1583763060238484432,189
1583763060238520541,189
1583763060238556777,179
1583763060238595199,200
1583763060238641042,189
1583763060238697719,189
1583763060238754083,189
1583763060238888488,211
1583763060239092152,189
1583763060239142472,200
1583763060239261193,189
1583763060239318363,189
1583763060239508246,189
1583763060239526560,189
1583763060239574280,200
1583763060239611996,189
1583763060239634764,200
1583763060239734014,189
1583763060239781440,179
1583763060239821270,200
1583763060239859055,189
1583763060239890364,200
1583763060239945978,189
1583763060239979840,866
1583763060240031373,404
1583763060240086634,340
1583763060240248571,426
1583763060240298988,372
1583763060240361608,308
1583763060240425479,555
1583763060240478486,447
1583763060240518735,673
1583763060240568549,512
1583763060240624952,383
1583763060240676502,146
1583763060240722335,286
1583763060240775539,168
1583763060240835416,254
1583763060240882386,286
1583763060240933036,243
1583763060240978365,243
1583763060241026082,308
1583763060241087523,265
1583763060241133259,340
1583763060241194800,415
1583763060241258714,458
1583763060241341673,318
1583763060241399410,630
1583763060241475211,318
1583763060241530572,522
1583763060241591719,383
1583763060241648023,275
1583763060241734648,340
1583763060241778418,222
1583763060241874734,318
1583763060241986548,265
1583763060242101899,211
1583763060242883877,93
1583763060243013169,447
1583763060243275059,372
1583763060243341294,168
1583763060243524256,404
1583763060243602781,146
1583763060243678946,243
1583763060243905797,211
1583763060243975613,157
1583763060244036148,114
1583763060244099495,308
1583763060244175124,103
1583763060244637468,361
1583763060334404223,103
1583763060443935498,136
1583763060539377774,136
1583763060634065238,82
1583763060734294500,265
1583763060838582999,39
1583763060939600039,189
1583763061034691711,340
1583763061135800173,286
1583763061241781666,479
1583763061343732650,254
1583763061435088240,318
1583763061535199703,136
1583763061637006743,404
1583763061775885236,-58
1583763061839056101,-79
1583763061944989586,-144
1583763062034645961,-4
1583763062143170925,-47
1583763062234370135,-144
1583763062339560641,-122
1583763062434266416,17
1583763062543935695,103
1583763062635691395,-15
1583763062739335481,82
1583763062834201895,17
1583763062939678746,50
1583763063035153324,28
1583763063139198999,-15
1583763063237115360,28
1583763063340639928,-4
1583763063434340465,-4
1583763063539745704,17
1583763063635351898,7
1583763063745856698,7
1583763063837478348,-15
1583763063940307221,7
1583763064045326647,7
1583763064138965974,-4
1583763064236371392,17
1583763064345733784,7
1583763064439516218,7
1583763064539114735,-15
1583763064647051178,-4
1583763064737635375,82
1583763064837133093,-4
1583763064934929719,-4
1583763065039382454,28
1583763065134734881,-4
1583763065234707830,82
1583763065335804409,-15
1583763065439619983,-4
1583763065544252213,-15
1583763065634407959,-15
1583763065754134716,7
1583763065837157934,28
1583763065942798923,-15
1583763066039187672,-4
1583763066136047325,-4
1583763066240916864,7
1583763066343564857,7
1583763066447334074,28
1583763066539111462,93
1583763066636858007,-4
1583763066739645179,-15
1583763066835389781,-4
1583763066939158521,28
1583763067042996290,82
1583763067138725865,-4
1583763067238986868,82
1583763067346723501,-4
1583763067441311101,39
1583763067539613879,7
1583763067645552919,7
1583763067748412859,7
1583763067839907596,-15
1583763067946596223,93
1583763068039929713,-4
1583763068134996264,7
1583763068246315624,-4
1583763068335482566,7
1583763068439453232,-4
1583763068546183649,39
1583763068636536722,-4
1583763068737069582,28
1583763068835891891,39
1583763068939423215,39
1583763069036337150,-4
1583763069144023603,-4
1583763069239608105,17
1583763069335698413,17
1583763069450136495,39
1583763069538322868,-4
1583763069634470181,39
1583763069745140898,39
1583763069842997361,39
1583763069934317748,-4
1583763070050279581,-4
1583763070146296599,39
1583763070241519028,39
1583763070349931866,17
1583763070439480441,39
1583763070542015927,7
1583763070646485345,-4
1583763070739753806,-4
1583763070835013929,7
1583763070948378182,-105
1583763071036341569,-374
1583763071138763619,-159
1583763071243482141,-202
1583763071339171724,-30
1583763071436490631,-73
1583763071545109105,34
1583763071638040508,-84
1583763071740485187,-84
1583763071847040969,-395
1583763071940726600,-62
1583763072038702097,-73
1583763072137475149,-138
1583763072238057550,-105
1583763072336025577,-245
1583763072437914299,-148
1583763072534361162,-170
1583763072638227504,-191
1583763072745513866,-288
1583763072837883724,-202
1583763072937766388,-202
1583763073046118823,-213
1583763073136890604,-159
1583763073239189421,-95
1583763073336243825,-62
1583763073439777557,-62
1583763073534809195,-191
1583763073637652704,-159
1583763073739674476,-62
1583763073834400233,-202
1583763073937776514,-41
1583763074039890131,77
1583763074137199943,-19
1583763074234469139,-30
1583763074338386994,-73
1583763074434765307,-19
1583763074551890173,-30
1583763074636941290,-30
1583763074740749677,-52
1583763074847523312,-9
1583763074936423238,2
1583763075037434251,-9
1583763075139654743,-30
1583763075239568406,-30
1583763075337437941,-19
1583763075443525778,2
1583763075534592654,-30
1583763075635606353,2
1583763075735578381,-9
1583763075836320920,-30
1583763075935573764,-9
1583763076045490897,-73
1583763076138301145,-62
1583763076236744682,2
1583763076336944117,-30
1583763076435774396,-62
1583763076537324455,-19
1583763076635350918,-19
1583763076736251771,-30
1583763076833872022,-95
1583763076943312648,2
1583763077035097395,-73
1583763077138937868,-9
1583763077246288196,-19
1583763077334259730,-105
1583763077435475264,-73
1583763077545917823,-41
1583763077637417983,2
1583763077745798543,-30
1583763077847870305,-9
1583763077938239863,-73
1583763078036001675,-73
1583763078134311950,2
1583763078238183084,-30
1583763078338324300,-84
1583763078447261181,-19
1583763078537629298,2
1583763078635866894,-19
1583763078733816467,-19
1583763078837265621,-41
1583763078937058375,-30
1583763079045618151,-9
1583763079135089967,13
1583763079234816718,13
1583763079335703051,-9
1583763079436283259,-95
1583763079534820655,-19
1583763079643427155,-9
1583763079734152154,-73
1583763079834003540,-95
1583763079935912272,2
1583763080035898821,-30
1583763080135791273,-30
1583763080233805562,-30
1583763080335929060,-73
1583763080441415714,2
1583763080545389997,-19
1583763080635906460,13
1583763080736968800,-30
1583763080833979093,2
1583763080934303389,-19
1583763081039703903,2
1583763081135910231,2
1583763081236940043,-9
1583763081335014443,2
1583763081433750731,-9
1583763081536976097,-62
1583763081634820880,-30
1583763081734089325,-9
1583763081837206790,-73
1583763081933832070,-62
1583763082046019844,2
1583763082135958099,-19
1583763082238308374,-41
1583763082335784049,-95
1583763082434150128,-62
1583763082536709438,-73
1583763082633964677,-19
1583763082736127154,-62
1583763082839457545,-9
1583763082936055809,2
1583763083035163510,13
1583763083135236358,361
1583763083244342711,512
1583763083363371418,479
1583763083444665178,533
1583763083547418868,329
1583763083637895001,383
1583763083736110322,243
1583763083835481592,383
1583763083935010970,275
1583763084035931804,351
1583763084136268880,318
1583763084240285133,394
1583763084336602738,232
1583763084443511232,308
1583763084536066426,286
1583763084633899155,394
1583763084744163305,372
1583763084834032311,351
1583763084935260642,351
1583763085043598405,458
1583763085137426560,275
1583763085237041179,351
1583763085334156657,211
1583763085435263791,318
1583763085534200704,286
1583763085635060070,275
1583763085735743596,286
1583763085836447404,501
1583763085935240680,372
1583763086035833796,168
1583763086135449906,157
1583763086233989694,125
1583763086335879359,308
1583763086436535734,28
1583763086544319611,136
1583763086634985079,103
1583763086739201649,286
1583763086844358889,232
1583763086940805667,447
1583763087035261666,383
1583763087143891954,533
1583763087250108847,479
1583763087402750164,297
1583763087435563525,404
1583763087539585253,297
1583763087639841021,243
1583763087735379218,447
1583763087834122683,286
1583763087935242132,394
1583763088050269729,308
1583763088136182568,361
1583763088237392941,286
1583763088334176076,222
1583763088434249785,179
1583763088534323610,275
1583763088634438650,318
1583763088736075985,275
1583763088836165666,254
1583763088936427948,275
1583763089034660478,351
1583763089134426924,340
1583763089235454599,297
1583763089334376555,60
1583763089436722889,39
1583763089543427933,50
1583763089635945455,168
1583763089735231555,490
1583763089835530653,265
1583763089935843526,254
1583763090034102230,254
1583763090134539468,275
1583763090240505472,243
1583763090339088331,232
1583763090472201734,243
1583763090535223450,254
1583763090635316465,243
1583763090736167477,232
1583763090842562651,232
1583763090936500164,254
1583763091043120856,243
1583763091145036304,254
1583763091241962785,243
1583763091335937498,254
1583763091436276869,254
1583763091534248467,254
1583763091637213861,254
1583763091742269584,254
1583763091888162443,243
1583763091934434140,254
1583763092036528710,243
1583763092135852379,254
1583763092235640620,254
1583763092337153292,232
1583763092435370204,243
1583763092542844632,243
1583763092635585038,243
1583763092736497178,243
1583763092835282717,254
1583763092936464188,254
1583763093035393763,243
1583763093143658494,243
1583763093240329455,254
1583763093336466748,254
1583763093436344889,254
1583763093639806097,243
1583763093645392825,232
1583763093737976083,254
1583763093836903990,243
1583763093939762022,243
1583763094043766430,254
1583763094136924112,222
1583763094238722936,243
1583763094336378273,254
1583763094436475446,243
1583763094536615708,243
1583763094637769804,243
1583763094734571009,243
1583763094834601398,254
1583763094933599816,232
1583763095034852802,243
1583763095138460688,254
1583763095234375334,243
1583763095337650586,254
1583763095435529746,254
1583763095543338527,232
1583763095650276791,243
1583763095736198777,243
1583763095833579411,243
1583763095937259204,254
1583763096039675805,222
1583763096146662617,243
1583763096235639588,254
1583763096334629749,254
1583763096569016570,254
1583763096621493103,243
1583763096637058087,232
1583763096797678620,243
1583763096943689065,243
1583763096943694825,254
1583763097101600216,243
1583763097249787273,232
1583763097258592107,243
1583763097408059756,243
1583763097557286504,243
1583763097582732083,254
1583763097706963213,254
1583763097859073394,232
1583763097883583560,232
1583763098024632154,254
1583763098162143861,243
1583763098162150956,243
1583763098331501181,254
1583763098469806485,254
1583763098469820666,232
1583763098625653017,232
1583763098641485346,-62
1583763098780703669,-514
1583763098934102102,-385
1583763098951987352,-352
1583763099092500813,-30
1583763099237402696,-234
1583763099248555425,-159
1583763099390342702,-213
1583763099551172746,-73
1583763099566139576,-159
1583763099692143738,-138
