%time,field.data
1583763060241025179,21622
1583763060241082489,21707
1583763060241130835,21525
1583763060241187403,21621
1583763060241242483,21700
1583763060241316458,21539
1583763060241387456,21611
1583763060241461317,21625
1583763060241512741,21619
1583763060241579462,21626
1583763060241640246,21604
1583763060241731368,21633
1583763060241777708,21622
1583763060241864344,21607
1583763060241933855,21633
1583763060242073814,21621
1583763060242875310,21634
1583763060243004515,21598
1583763060243267152,21632
1583763060243320759,21632
1583763060243670055,21534
1583763060243896240,21709
1583763060243965059,21616
1583763060244014258,21627
1583763060244094059,21608
1583763060244169468,21537
1583763060244218271,21613
1583763060245706391,21637
1583763060245719123,21611
1583763060323653333,21628
1583763060417767312,21620
1583763060533807937,21602
1583763060618275109,21639
1583763060718566217,21613
1583763060819037104,21626
1583763060930662248,21621
1583763061018429937,21609
1583763061119775289,21618
1583763061214015830,21620
1583763061328378469,21541
1583763061414273496,21699
1583763061514339217,21620
1583763061622366869,21612
1583763061714476616,21107
1583763061828627518,18501
1583763061918922751,15299
1583763062019348914,12317
1583763062128987706,9175
1583763062218705245,6162
1583763062328768050,3078
1583763062425416249,465
1583763062529063751,132
1583763062618100651,68
1583763062728521247,39
1583763062818816703,18
1583763062935759286,9
1583763063024582930,3
1583763063117790723,0
1583763063218557825,0
1583763063315125720,0
1583763063416763699,0
1583763063515561521,0
1583763063618111551,0
1583763063716829852,0
1583763063816378387,0
1583763063926674164,0
1583763064021063148,0
1583763064116860478,0
1583763064225374451,0
1583763064315226505,0
1583763064418866660,0
1583763064523247056,0
1583763064621496734,0
1583763064720312907,0
1583763064836888397,0
1583763064919632476,0
1583763065021050956,0
1583763065125140588,0
1583763065219234659,0
1583763065319670425,0
1583763065428026132,0
1583763065522045832,0
1583763065633369653,0
1583763065729596298,0
1583763065815763395,0
1583763065920824273,0
1583763066020390944,0
1583763066115369202,0
1583763066219087301,0
1583763066323390407,0
1583763066426860417,0
1583763066515665976,0
1583763066619525423,0
1583763066721069790,0
1583763066819716999,0
1583763066926157337,0
1583763067019186952,0
1583763067122707950,0
1583763067226432934,0
1583763067315532552,0
1583763067420893556,0
1583763067524957347,0
1583763067620458233,0
1583763067723098850,0
1583763067824986980,0
1583763067919386896,0
1583763068020306943,0
1583763068127461432,0
1583763068224799116,0
1583763068316450566,0
1583763068431924514,0
1583763068519862607,0
1583763068619286264,0
1583763068725531331,0
1583763068820084496,0
1583763068922042299,0
1583763069019449779,0
1583763069130564081,0
1583763069219949289,0
1583763069331609414,0
1583763069419828843,0
1583763069522478747,0
1583763069623811906,0
1583763069731827675,0
1583763069827628652,0
1583763069928678012,0
1583763070019537901,0
1583763070120806305,0
1583763070225401264,0
1583763070320986227,0
1583763070423134039,0
1583763070524055390,0
1583763070620114710,0
1583763070720289533,0
1583763070830630751,0
1583763070923235962,-447
1583763071033485708,-2343
1583763071126363135,-3603
1583763071222888643,-4071
1583763071317905332,-4395
1583763071426397509,-4535
1583763071519774159,-4608
1583763071624349802,-4650
1583763071724062878,-4668
1583763071818122120,-4654
1583763071920280410,-4725
1583763072025645394,-4676
1583763072119832945,-4718
1583763072225935210,-4708
1583763072325823703,-4670
1583763072417681077,-4703
1583763072526277937,-4697
1583763072627796525,-4692
1583763072719853659,-4696
1583763072825368085,-4697
1583763072929609545,-4697
1583763073024367633,-4698
1583763073135934961,-4700
