%time,field.data
1583763060239830017,173
1583763060239861882,141
1583763060239897855,108
1583763060239950971,173
1583763060239989431,1000
1583763060240031580,420
1583763060240091197,409
1583763060240249838,570
1583763060240305611,388
1583763060240364048,452
1583763060240421592,560
1583763060240480203,517
1583763060240520215,699
1583763060240571809,742
1583763060240629489,495
1583763060240676949,184
1583763060240722905,452
1583763060240780016,291
1583763060240843640,388
1583763060240889576,495
1583763060240942460,441
1583763060240984209,345
1583763060241033226,259
1583763060241098053,269
1583763060241146900,377
1583763060241203260,194
1583763060241273291,302
1583763060241351103,227
1583763060241417191,184
1583763060241484139,280
1583763060241540042,355
1583763060241608287,345
1583763060241662110,452
1583763060241741025,345
1583763060241791979,355
1583763060241882381,506
1583763060242004263,334
1583763060242115373,366
1583763060242903928,463
1583763060243029290,334
1583763060243280336,323
1583763060243354128,248
1583763060243533510,227
1583763060243613032,55
1583763060243688650,151
1583763060243907761,259
1583763060243982758,55
1583763060244039588,227
1583763060244110582,216
1583763060244184305,194
1583763060244640003,259
1583763060339170288,291
1583763060443978337,398
1583763060539399899,398
1583763060634207650,355
1583763060744246093,506
1583763060838724945,173
1583763060939689404,409
1583763061034689385,527
1583763061139144209,484
1583763061241823351,463
1583763061343856001,65
1583763061453460804,420
1583763061535294559,452
1583763061637114770,377
1583763061775971720,-21
1583763061839088279,1
1583763061945134207,-53
1583763062034725407,-42
1583763062143201559,-42
1583763062246030477,-85
1583763062339567321,-117
1583763062434521789,12
1583763062543954692,22
1583763062639676917,-10
1583763062739497322,33
1583763062844308864,33
1583763062939813126,22
1583763063035341364,-21
1583763063139220771,22
1583763063239182776,33
1583763063340774581,-21
1583763063445185579,22
1583763063539844524,-10
1583763063640620477,33
1583763063746020805,22
1583763063839750711,-10
1583763063940340066,33
1583763064046495074,12
1583763064138999453,22
1583763064239057241,33
1583763064345759891,-21
1583763064439623061,22
1583763064539148718,22
1583763064647150764,-21
1583763064737668729,1
1583763064837734848,-21
1583763064935035129,22
1583763065039474783,-10
1583763065139221271,1
1583763065234784715,22
1583763065338515116,22
1583763065439667843,-10
1583763065544265266,22
1583763065643011064,22
1583763065754164689,-21
1583763065847642184,-10
1583763065942839439,-10
1583763066039219727,22
1583763066136134124,1
1583763066241027548,22
1583763066343606072,22
1583763066447538375,1
1583763066539358403,1
1583763066636912587,22
1583763066739669309,-21
1583763066839662557,44
1583763066939190413,22
1583763067043086311,22
1583763067138744814,1
1583763067239036497,-10
1583763067346767291,-10
1583763067441486013,1
1583763067546257049,-10
1583763067648382528,-10
1583763067748441793,1
1583763067839996612,22
1583763067946619821,1
1583763068039989717,22
1583763068135085923,-31
1583763068246395985,1
1583763068335693635,-10
1583763068439501802,22
1583763068546200508,-10
1583763068636611418,12
1583763068739757155,22
1583763068845273703,-21
1583763068939483029,12
1583763069039262543,22
1583763069144105484,-10
1583763069239653699,-10
1583763069340772953,33
1583763069450228231,-10
1583763069540568305,33
1583763069634506184,-10
1583763069749968829,1
1583763069843099590,22
1583763069943935357,1
1583763070050475364,-10
1583763070146403111,33
1583763070241699427,-10
1583763070350055893,-21
1583763070439511047,-10
1583763070543087492,-21
1583763070646515427,22
1583763070739767492,1
1583763070835040110,1
1583763070948397838,87
1583763071036348260,882
1583763071139008611,527
1583763071246689422,216
1583763071339222237,495
1583763071440211365,366
1583763071545135522,463
1583763071640992057,495
1583763071740514751,506
1583763071847308600,388
1583763071940847881,323
1583763072041634263,345
1583763072137624409,280
1583763072243499095,431
1583763072336128081,678
1583763072445461784,398
1583763072534393889,345
1583763072639760975,291
1583763072745539641,302
1583763072840882423,377
1583763072937834653,227
1583763073046141894,312
1583763073137138470,259
1583763073239460596,312
1583763073336334389,398
1583763073439894622,248
1583763073534911867,280
1583763073643950954,388
1583763073739713494,269
1583763073839486662,388
1583763073937811588,-74
1583763074040842588,345
1583763074137322406,205
1583763074234573056,388
1583763074338399842,398
1583763074434800222,420
1583763074551905425,420
1583763074637103108,463
1583763074741407280,474
1583763074847546336,463
1583763074936494542,431
1583763075037466706,441
1583763075139670273,431
1583763075239738487,441
1583763075337515656,441
1583763075443605548,431
1583763075534768456,441
1583763075635697811,431
1583763075735655519,441
1583763075836408870,431
1583763075935687842,431
1583763076045764470,431
1583763076138376825,431
1583763076236787004,441
1583763076337042354,431
1583763076435847865,431
1583763076537352226,431
1583763076635454441,431
1583763076736320616,441
1583763076833911185,431
1583763076943449208,441
1583763077035214610,441
1583763077139110288,441
1583763077246390983,441
1583763077334313768,441
1583763077435592764,420
1583763077545957221,441
1583763077637520220,420
1583763077745815039,431
1583763077847984317,441
1583763077938340430,420
1583763078036023913,441
1583763078134367319,431
1583763078241937878,420
1583763078339220761,441
1583763078447316405,431
1583763078538047226,452
1583763078636997572,431
1583763078733933111,441
1583763078838427196,441
1583763078938777715,431
1583763079045654123,441
1583763079135253758,441
1583763079234949707,441
1583763079335754525,452
1583763079436360104,420
1583763079535792497,441
1583763079643508462,409
1583763079734233774,441
1583763079834053890,441
1583763079936065587,441
1583763080036016375,431
1583763080135907811,431
1583763080233892285,431
1583763080335998256,452
1583763080441778062,431
1583763080545412649,431
1583763080636019571,420
1583763080737108322,441
1583763080834038700,431
1583763080934463060,431
1583763081039949152,441
1583763081136137406,441
1583763081237031533,431
1583763081335081628,420
1583763081433782421,431
1583763081537054709,441
1583763081634844339,441
1583763081734339422,431
1583763081837290491,441
1583763081933913312,431
1583763082046072112,431
1583763082136047025,431
1583763082238345402,420
1583763082335887825,431
1583763082434304672,441
1583763082536777640,431
1583763082634081065,431
1583763082736291300,441
1583763082839570081,441
1583763082937474653,431
1583763083035193490,431
1583763083135266373,-146
1583763083244380159,-619
1583763083363449433,-179
1583763083444735952,-286
1583763083547452712,-361
1583763083637984974,-415
1583763083736226935,-243
1583763083835552557,-308
1583763083935086935,-426
1583763084036064377,-286
1583763084136332299,-222
1583763084240410841,-125
1583763084336769087,-265
1583763084443604969,-157
1583763084536227431,-179
1583763084633990128,-265
1583763084744204195,-232
1583763084834130878,-308
1583763084935284944,-286
1583763085044530506,-265
1583763085137548598,-308
1583763085237143686,-329
1583763085334310157,-351
1583763085435321361,-243
1583763085534476417,-297
1583763085635164887,-308
1583763085735818424,-340
1583763085836547317,-265
1583763085935362618,-265
1583763086036840565,-318
1583763086135930164,-340
1583763086235128818,-340
1583763086336770762,-372
1583763086436648881,-383
1583763086544343746,-437
1583763086635107971,-275
1583763086739374060,-189
1583763086845978781,-168
1583763086940835969,-211
1583763087035329401,-211
1583763087143919034,-168
1583763087250197708,-189
1583763087402776206,-136
1583763087437228612,-146
1583763087540340326,-93
1583763087639984266,-146
1583763087735770999,-125
1583763087834223702,-179
1583763087936279001,-136
1583763088050347424,-136
1583763088137119883,-146
1583763088238410151,-222
1583763088335308785,-200
1583763088434386500,-211
1583763088535216189,-189
1583763088634682949,-243
1583763088736151460,-232
1583763088837236141,-136
1583763088936537565,-243
1583763089034752520,-200
1583763089136467298,-168
1583763089238660120,-189
1583763089334461736,15
1583763089436885158,4
1583763089543455543,-61
1583763089636020683,-50
1583763089736322696,-200
1583763089837392366,-103
1583763089936977346,-168
1583763090035166449,-168
1583763090135577226,-136
1583763090240593274,-136
1583763090340273975,-211
1583763090472406697,-189
1583763090537076279,-179
1583763090636712537,-125
1583763090737179394,-136
1583763090842598703,-200
1583763090936541947,-136
1583763091043191809,-136
1583763091148146219,-179
1583763091242000473,-136
1583763091343453146,-179
1583763091437815227,-179
1583763091534456454,-189
1583763091645062965,-125
