%time,field.data
1583763060243542014,-352
1583763060243619529,-146
1583763060243696494,-144
1583763060243914748,-377
1583763060243988787,-152
1583763060244044189,-168
1583763060244117971,-246
1583763060244188783,-242
1583763060244645173,-361
1583763060339196359,-247
1583763060443988906,-309
1583763060539522783,-298
1583763060634218431,-360
1583763060744266896,-488
1583763060838737415,-255
1583763060939702089,-434
1583763061051881759,-541
1583763061139153396,-409
1583763061241889025,-541
1583763061343862679,-349
1583763061453482236,-440
1583763061535357123,-456
1583763061637155426,-405
1583763061776070280,-5
1583763061839087443,-16
1583763061945151482,28
1583763062041771127,42
1583763062143207812,57
1583763062246330906,68
1583763062339862032,125
1583763062439230474,-7
1583763062544014720,-17
1583763062639701385,-10
1583763062739504963,-9
1583763062844340352,-5
1583763062939860729,-9
1583763063039623737,-4
1583763063139226596,-4
1583763063239214598,-4
1583763063340774575,-4
1583763063445198544,-4
1583763063539866130,-4
1583763063640743442,-4
1583763063746020902,-4
1583763063839943503,-4
1583763063940398227,-4
1583763064046504888,-4
1583763064139013904,-4
1583763064239100841,-4
1583763064345766569,-4
1583763064439843560,-4
1583763064539156923,-4
1583763064647250571,-4
1583763064737720692,-4
1583763064837757037,-4
1583763064944185352,-4
1583763065039482052,-4
1583763065139242629,-4
1583763065245362361,-4
1583763065338533764,-4
1583763065439712756,-4
1583763065544273429,-4
1583763065643037812,-4
1583763065754246210,-4
1583763065847673871,-4
1583763065942850066,-4
1583763066039227448,-4
1583763066136169286,-4
1583763066241038019,-4
1583763066343644308,-4
1583763066447569245,-4
1583763066539441964,-4
1583763066657024860,-4
1583763066739674450,-4
1583763066839686899,-4
1583763066939199217,-4
1583763067043133709,-4
1583763067138776940,-4
1583763067239067904,-4
1583763067346792577,-4
1583763067441565686,-4
1583763067546281468,-4
1583763067648392159,-4
1583763067748482876,-4
1583763067840031275,-4
1583763067946662131,-4
1583763068040025042,-4
1583763068135117085,-5
1583763068246455263,-5
1583763068348855432,-4
1583763068439519620,-4
1583763068546220154,-4
1583763068648887242,-4
1583763068739777747,-4
1583763068845480010,-4
1583763068940050312,-4
1583763069039303062,-4
1583763069144129308,-4
1583763069239664877,-4
1583763069355141864,-4
1583763069450309666,-4
1583763069540589613,-4
1583763069634607351,-4
1583763069749973246,-4
1583763069851782781,-4
1583763069943942319,-4
1583763070050542278,-4
1583763070146410820,-4
1583763070241713214,-4
1583763070350105270,-4
1583763070439522024,-4
1583763070543634848,-4
1583763070646525321,-4
1583763070739774130,-4
1583763070839995408,-4
1583763070948402056,-163
1583763071039164848,-834
1583763071139035265,-577
1583763071246722054,-242
1583763071339235148,-453
1583763071440234037,-391
1583763071545141427,-456
1583763071641024899,-322
1583763071740522765,-391
1583763071847321774,-379
1583763071940853928,-349
1583763072041662532,-386
1583763072137965091,-302
1583763072243612111,-422
1583763072336134939,-474
1583763072445471201,-364
1583763072534405672,-432
1583763072639776081,-313
1583763072745567848,-291
1583763072840912634,-324
1583763072937845897,-221
1583763073046260732,-233
1583763073139596340,-323
1583763073239481054,-321
1583763073346018059,-399
1583763073439989446,-256
1583763073548909615,-274
1583763073643962810,-359
1583763073739739956,-291
1583763073839500333,-405
1583763073937887892,-21
1583763074040925229,-386
1583763074137337207,-248
1583763074234634170,-406
1583763074338400695,-404
1583763074434833435,-437
1583763074552221806,-430
1583763074637113553,-442
1583763074741444612,-458
1583763074847558612,-452
1583763074936504411,-439
1583763075037719141,-439
1583763075139723388,-439
1583763075239759229,-437
1583763075337666191,-434
1583763075443640324,-434
1583763075534783852,-434
1583763075635738130,-434
1583763075735690912,-434
1583763075836446096,-433
1583763075935731875,-434
1583763076045766400,-434
1583763076138377175,-434
1583763076236780771,-434
1583763076337071931,-434
1583763076435889434,-434
1583763076537362340,-434
1583763076635500617,-434
1583763076736396156,-434
1583763076833944044,-434
1583763076943470105,-434
1583763077035224727,-433
1583763077139110931,-434
1583763077246607353,-434
1583763077334328349,-434
1583763077435603062,-434
1583763077545981221,-434
1583763077637575570,-434
1583763077745839131,-434
1583763077848009624,-434
1583763077938670222,-434
1583763078036078613,-434
1583763078134502163,-433
1583763078241968507,-433
1583763078339233935,-433
1583763078447327945,-432
1583763078539502578,-433
1583763078637190421,-433
1583763078733963160,-433
1583763078839465650,-433
1583763078939358244,-433
1583763079045670259,-433
1583763079135304776,-433
1583763079234985619,-433
1583763079335773300,-433
1583763079436402849,-433
1583763079535805274,-433
1583763079643526908,-433
1583763079734441208,-433
1583763079834113694,-433
1583763079936099664,-433
1583763080036024626,-433
1583763080135938436,-433
1583763080233959246,-433
1583763080336029942,-433
1583763080441791117,-433
1583763080545416332,-433
1583763080636058133,-433
1583763080737117400,-433
1583763080834088403,-433
1583763080934508032,-433
1583763081039959209,-433
1583763081136145481,-433
1583763081237063691,-433
1583763081335119435,-433
1583763081433824226,-433
1583763081537062019,-433
1583763081634878339,-433
1583763081734351678,-433
1583763081837304620,-433
1583763081933951588,-433
1583763082046122961,-433
1583763082136443537,-433
1583763082238388315,-433
1583763082335924848,-433
1583763082434322093,-433
1583763082536828168,-433
1583763082634114874,-433
1583763082736345609,-433
1583763082839588669,-433
1583763082937488888,-433
1583763083035206282,-433
1583763083135275937,137
1583763083244437998,653
1583763083363480155,117
1583763083444790306,468
1583763083547459691,324
1583763083638048935,417
1583763083737418288,270
1583763083835599797,385
1583763083935181577,404
1583763084036101688,260
1583763084136413039,201
1583763084240497727,201
1583763084336786510,219
1583763084443644346,216
1583763084536309162,145
1583763084634000228,261
1583763084744211771,214
1583763084834148952,306
