%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1583763060238376551,1,1583763052749411989,odom,0.0,0.0,0.0,0.00376638892758,-0.0253316508557,-0.983624921278,0.18022767335,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583763060238416861,2,1583763052849411989,odom,0.0,0.0,0.0,0.00376638892758,-0.0253316508557,-0.983624921278,0.18022767335,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,251000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583763060238448703,3,1583763052949411989,odom,0.0,0.0,0.0,0.00376638892758,-0.0253316508557,-0.983624921278,0.18022767335,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,252000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583763060238484562,4,1583763053048411989,odom,0.0,0.0,0.0,0.00376643740214,-0.0252706561707,-0.98356275276,0.180566639729,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,253000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.8324071435e-10
1583763060238517674,5,1583763053150411989,odom,0.0,0.0,0.0,0.00376648582533,-0.0252096612571,-0.983502293454,0.180895657137,1.04039208964e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.04039208964e-05,0.0,0.0,0.0,0.0,0.0,0.0,254000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65661287308e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.65661287308e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.00666910855e-10
1583763060238561930,6,1583763053249411989,odom,0.0,0.0,0.0,0.00376648582533,-0.0252096612571,-0.983502293454,0.180895657137,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,255000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.83240714252e-10
1583763060238613807,7,1583763053349411989,odom,0.0,0.0,0.0,0.00370545254744,-0.0252096243732,-0.983918049336,0.178620469686,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,256000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583763060238649436,8,1583763053449411989,odom,0.0,0.0,0.0,0.00364446766903,-0.0251485920784,-0.984273324293,0.176652266004,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,257000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583763060238702900,9,1583763053549411989,odom,0.0,0.0,0.0,0.00364451591511,-0.025087596521,-0.984213454252,0.176985526158,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,258000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648012e-10
1583763060238749733,10,1583763053648411989,odom,0.0,0.0,0.0,0.00370559745,-0.0250266375693,-0.983743271329,0.179580556059,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,259000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.8324071435e-10
1583763060239343518,11,1583763053749411989,odom,0.0,0.0,0.0,0.00376663100806,-0.0250266744955,-0.983322330205,0.181871369161,1.02010089904e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.02010089904e-05,0.0,0.0,0.0,0.0,0.0,0.0,260000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65661287308e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.65661287308e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.94800380276e-10
1583763060239384831,12,1583763053849411989,odom,0.0,0.0,0.0,0.003766582654,-0.0250876704384,-0.983380018689,0.181559188263,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,261000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648108e-10
1583763060239819359,13,1583763053948411989,odom,0.0,0.0,0.0,0.00376653422084,-0.025148665968,-0.983443394638,0.181215588573,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,262000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.8324071435e-10
