%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1583763062158239898,0.0,0.0,0.0,0.0,0.0,0.0
1583763062258425925,0.0,0.0,0.0,0.0,0.0,0.0
1583763062358230808,0.0,0.0,0.0,0.0,0.0,0.0
1583763062458417750,0.0,0.0,0.0,0.0,0.0,0.0
1583763062558217309,0.0,0.0,0.0,0.0,0.0,0.0
1583763062658466423,0.0,0.0,0.0,0.0,0.0,0.0
1583763062758222223,0.0,0.0,0.0,0.0,0.0,0.0
1583763062858440777,0.0,0.0,0.0,0.0,0.0,0.0
1583763062958316061,0.0,0.0,0.0,0.0,0.0,0.0
1583763063058382848,0.0,0.0,0.0,0.0,0.0,0.0
1583763063158446386,0.0,0.0,0.0,0.0,0.0,0.0
1583763063258393711,0.0,0.0,0.0,0.0,0.0,0.0
1583763063358507643,0.0,0.0,0.0,0.0,0.0,0.0
1583763063458414850,0.0,0.0,0.0,0.0,0.0,0.0
1583763063558872185,0.0,0.0,0.0,0.0,0.0,0.0
1583763063658449554,0.0,0.0,0.0,0.0,0.0,0.0
1583763063758536864,0.0,0.0,0.0,0.0,0.0,0.0
1583763063858400683,0.0,0.0,0.0,0.0,0.0,0.0
1583763063958252310,0.0,0.0,0.0,0.0,0.0,0.0
1583763064058411801,0.0,0.0,0.0,0.0,0.0,0.0
1583763064158422114,0.0,0.0,0.0,0.0,0.0,0.0
1583763064258460344,0.0,0.0,0.0,0.0,0.0,0.0
1583763064358568742,0.0,0.0,0.0,0.0,0.0,0.0
1583763064458473568,0.0,0.0,0.0,0.0,0.0,0.0
1583763064558369946,0.0,0.0,0.0,0.0,0.0,0.0
1583763064658476668,0.0,0.0,0.0,0.0,0.0,0.0
1583763064758545137,0.0,0.0,0.0,0.0,0.0,0.0
1583763064858405437,0.0,0.0,0.0,0.0,0.0,0.0
1583763064958342541,0.0,0.0,0.0,0.0,0.0,0.0
1583763065058381155,0.0,0.0,0.0,0.0,0.0,0.0
1583763065158325215,0.0,0.0,0.0,0.0,0.0,0.0
1583763065258487708,0.0,0.0,0.0,0.0,0.0,0.0
1583763065358328589,0.0,0.0,0.0,0.0,0.0,0.0
1583763065458382242,0.0,0.0,0.0,0.0,0.0,0.0
1583763065558453385,0.0,0.0,0.0,0.0,0.0,0.0
1583763065658521427,0.0,0.0,0.0,0.0,0.0,0.0
1583763065758411966,0.0,0.0,0.0,0.0,0.0,0.0
1583763065858383894,0.0,0.0,0.0,0.0,0.0,0.0
1583763065958609774,0.0,0.0,0.0,0.0,0.0,0.0
1583763066058478402,0.0,0.0,0.0,0.0,0.0,0.0
1583763066158364213,0.0,0.0,0.0,0.0,0.0,0.0
1583763066258412095,0.0,0.0,0.0,0.0,0.0,0.0
1583763066358307932,0.0,0.0,0.0,0.0,0.0,0.0
1583763066458450290,0.0,0.0,0.0,0.0,0.0,0.0
1583763066558494031,0.0,0.0,0.0,0.0,0.0,0.0
1583763066658456664,0.0,0.0,0.0,0.0,0.0,0.0
1583763066758320634,0.0,0.0,0.0,0.0,0.0,0.0
1583763066858441361,0.0,0.0,0.0,0.0,0.0,0.0
1583763066958348747,0.0,0.0,0.0,0.0,0.0,0.0
1583763067058412837,0.0,0.0,0.0,0.0,0.0,0.0
1583763067158283239,0.0,0.0,0.0,0.0,0.0,0.0
1583763067258433388,0.0,0.0,0.0,0.0,0.0,0.0
1583763067358357168,0.0,0.0,0.0,0.0,0.0,0.0
1583763067463314705,0.0,0.0,0.0,0.0,0.0,0.0
1583763067558345776,0.0,0.0,0.0,0.0,0.0,0.0
1583763067658395426,0.0,0.0,0.0,0.0,0.0,0.0
1583763067758420548,0.0,0.0,0.0,0.0,0.0,0.0
1583763067858557276,0.0,0.0,0.0,0.0,0.0,0.0
1583763067958433558,0.0,0.0,0.0,0.0,0.0,0.0
1583763068058456695,0.0,0.0,0.0,0.0,0.0,0.0
1583763068158255163,0.0,0.0,0.0,0.0,0.0,0.0
1583763068258370741,0.0,0.0,0.0,0.0,0.0,0.0
1583763068358583644,0.0,0.0,0.0,0.0,0.0,0.0
1583763068458459484,0.0,0.0,0.0,0.0,0.0,0.0
1583763068558373852,0.0,0.0,0.0,0.0,0.0,0.0
1583763068658414803,0.0,0.0,0.0,0.0,0.0,0.0
1583763068758303523,0.0,0.0,0.0,0.0,0.0,0.0
1583763068858381702,0.0,0.0,0.0,0.0,0.0,0.0
1583763068958658250,0.0,0.0,0.0,0.0,0.0,0.0
1583763069058496632,0.0,0.0,0.0,0.0,0.0,0.0
1583763069158536859,0.0,0.0,0.0,0.0,0.0,0.0
1583763069258461163,0.0,0.0,0.0,0.0,0.0,0.0
1583763069358457078,0.0,0.0,0.0,0.0,0.0,0.0
1583763069458275914,0.0,0.0,0.0,0.0,0.0,0.0
1583763069558291644,0.0,0.0,0.0,0.0,0.0,0.0
1583763069658456325,0.0,0.0,0.0,0.0,0.0,0.0
1583763069758425867,0.0,0.0,0.0,0.0,0.0,0.0
1583763069858407936,0.0,0.0,0.0,0.0,0.0,0.0
1583763069958629418,0.0,0.0,0.0,0.0,0.0,0.0
1583763070058331755,0.0,0.0,0.0,0.0,0.0,0.0
1583763070158309104,0.0,0.0,0.0,0.0,0.0,0.0
1583763070258440913,0.0,0.0,0.0,0.0,0.0,0.0
