%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1583763060239249689,21,1583763053922547123,,2,/record_1583763049030277011,Subscribing to /rosout,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060239735341,22,1583763054296142951,,2,/record_1583763049030277011,Subscribing to /odometry_calibrated/parameter_descriptions,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060239849255,8,1583763027097459077,,2,/controller_spawner,Started controllers: robomuse_diff, robomuse,spawner,main,201,/rosout
1583763060240118356,0,1583763024637940509,,4,/robot_state_publisher,The 'state_publisher' executable is deprecated. Please use 'robot_state_publisher' instead,/tmp/binarydeb/ros-kinetic-robot-state-publisher-1.13.7/src/joint_state_listener.cpp,main,171,/rosout
1583763060240349471,13,1583763026498925139,,2,/robomuse_hw,Dynamic Reconfigure:
DynamicParams:
	Odometry parameters:
		left wheel radius: 1
		right wheel radius: 1
		wheel separation: 1
	Publication parameters:
		Publish executed velocity command: 0
		Publication rate: 10
		Publish frame odom on tf: 1,/tmp/binarydeb/ros-kinetic-diff-drive-controller-0.13.6/src/diff_drive_controller.cpp,DiffDriveController::reconfCallback,700,/rosout,/lmotor_cmd,/rmotor_cmd,/lwheel_ticks,/rwheel_ticks,/robomuse_diff/odom,/tf,/robomuse_diff/parameter_descriptions,/robomuse_diff/parameter_updates
1583763060240533163,0,1583763024892758131,,2,/laser_scan_matcher_node,Starting LaserScanMatcher,/tmp/binarydeb/ros-kinetic-laser-scan-matcher-0.3.2/src/laser_scan_matcher.cpp,LaserScanMatcher::LaserScanMatcher,53,/rosout,/tf
1583763060240737483,0,1583763050644211232,,2,/odometry_calibration_service,Odometry Calibration Service READY,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,calibrate_function,73,/rosout
1583763060240899694,2,1583763025795228958,,2,/odometry_calibrated,node /odometry_calibrated has started,odometry_calibrated.py,__init__,20,/rosout
1583763060241049483,2,1583763025694819927,,2,/quat_euler_interconversion,node /quat_euler_interconversion has started,quat_euler_interconversion.py,__init__,17,/rosout
1583763060241245230,4,1583761595014773061,,2,/urg_node_front,Streaming data.,/home/robomuse/src/dependencies/urg_node/src/urg_node_driver.cpp,UrgNode::scanThread,486,/rosout,/scan_filtered,/laser_status,/diagnostics,/urg_node_front/parameter_descriptions,/urg_node_front/parameter_updates
1583763060241461694,6,1583763020264466047,,4,/serial_node_imu,Inbound TCP/IP connection failed: connection from sender terminated before handshake header received. 0 bytes were received. Please check sender for additional details.,tcpros_base.py,_tcp_server_callback,351,/diagnostics,/imu,/rosout
1583763060241821231,23,1583763054546310928,,2,/record_1583763049030277011,Subscribing to /rmotor_current,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060241959173,6,1583763027842133131,,2,/robot_pose_ekf,Kalman filter initialized with odom measurement,/tmp/binarydeb/ros-kinetic-robot-pose-ekf-1.14.5/src/odom_estimation_node.cpp,OdomEstimationNode::spin,484,/rosout,/tf,/robot_pose_ekf/odom_combined
1583763060243224296,24,1583763054934537205,,2,/record_1583763049030277011,Subscribing to /scan_filtered,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060243585026,25,1583763055298215159,,2,/record_1583763049030277011,Subscribing to /rosout_agg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060244087234,26,1583763055536484536,,2,/record_1583763049030277011,Subscribing to /chatter,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060244711235,27,1583763055835218094,,2,/record_1583763049030277011,Subscribing to /robomuse_diff/calibrated_odometry,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060244876414,28,1583763056117762244,,2,/record_1583763049030277011,Subscribing to /laser_status,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060245299907,29,1583763056442195330,,2,/record_1583763049030277011,Subscribing to /lmotor_current_avg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060246268757,30,1583763056851573828,,2,/record_1583763049030277011,Subscribing to /lwheel,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060246282856,31,1583763057155149283,,2,/record_1583763049030277011,Subscribing to /lmotor_cmd,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060247632776,32,1583763057488092275,,2,/record_1583763049030277011,Subscribing to /rmotor_cmd,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060247638895,33,1583763057812070839,,2,/record_1583763049030277011,Subscribing to /lwheel_ticks,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060248326913,34,1583763058111373835,,2,/record_1583763049030277011,Subscribing to /odom_yaw,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060248693162,35,1583763058507455393,,2,/record_1583763049030277011,Subscribing to /robomuse_diff/parameter_descriptions,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060248948736,36,1583763058772141320,,2,/record_1583763049030277011,Subscribing to /rmotor_current_avg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
