%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1583763060240095374,6367,1583763055835218094,,2,/record_1583763049030277011,Subscribing to /robomuse_diff/calibrated_odometry,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060240382910,6368,1583763056117762244,,2,/record_1583763049030277011,Subscribing to /laser_status,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060240552798,6369,1583763056442195330,,2,/record_1583763049030277011,Subscribing to /lmotor_current_avg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060240757938,6370,1583763056851573828,,2,/record_1583763049030277011,Subscribing to /lwheel,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060240908488,6371,1583763057155149283,,2,/record_1583763049030277011,Subscribing to /lmotor_cmd,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060241072712,6372,1583763057488092275,,2,/record_1583763049030277011,Subscribing to /rmotor_cmd,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060241272725,6373,1583763057812070839,,2,/record_1583763049030277011,Subscribing to /lwheel_ticks,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060241477412,6374,1583763058111373835,,2,/record_1583763049030277011,Subscribing to /odom_yaw,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060241718737,6375,1583763058507455393,,2,/record_1583763049030277011,Subscribing to /robomuse_diff/parameter_descriptions,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060241921754,6376,1583763058772141320,,2,/record_1583763049030277011,Subscribing to /rmotor_current_avg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060243108025,6377,1583763059134740596,,2,/record_1583763049030277011,Subscribing to /odom_ekf_yaw,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060243592510,6378,1583763059507668160,,2,/record_1583763049030277011,Subscribing to /rwheel,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763060244047685,6379,1583763059927977198,,2,/record_1583763049030277011,Subscribing to /odometry_calibrated/parameter_updates,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763061317138669,6380,1583763061299479223,,2,/record_1583763049030277011,Subscribing to /point_vals,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763061569271772,6381,1583763061558075984,,2,/odometry_calibration_service,20 percent calibration complete,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,calibration_protocol,164,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763061615010757,6382,1583763061569976035,,2,/record_1583763049030277011,Subscribing to /robomuse_diff/cmd_vel,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583763063209103378,6383,1583763063158162631,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.272925,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063237094625,6384,1583763063158247276,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.215449,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063237106919,6385,1583763063158308157,,2,/odometry_calibration_service,No. of Values at point P1= 1,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063415209860,6386,1583763063358110801,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.272931,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063434302794,6387,1583763063358166043,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.215394,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063434325275,6388,1583763063358200976,,2,/odometry_calibration_service,No. of Values at point P1= 2,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063612445238,6389,1583763063558168169,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.272933,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063635316426,6390,1583763063558299017,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.215278,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063635348241,6391,1583763063558460168,,2,/odometry_calibration_service,No. of Values at point P1= 3,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063809488910,6392,1583763063758173356,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.272934,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063837430465,6393,1583763063758300745,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.215185,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583763063837452280,6394,1583763063758606935,,2,/odometry_calibration_service,No. of Values at point P1= 4,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
