%time,field.data
1583763060244225170,21606
1583763060334364655,21613
1583763060434089086,21625
1583763060533849423,21688
1583763060634008927,21558
1583763060734280479,21605
1583763060833902241,21632
1583763060930845784,21606
1583763061034444265,21611
1583763061135680768,21721
1583763061240843723,21523
1583763061328488076,21639
1583763061435065976,21692
1583763061529064618,21527
1583763061622382850,21719
1583763061739452683,20778
1583763061828647742,17888
1583763061943153757,14811
1583763062034615115,11748
1583763062129036965,8703
1583763062234285893,5593
1583763062328784044,2525
1583763062434204724,307
1583763062529092853,117
1583763062635643412,71
1583763062728570194,34
1583763062834151594,18
1583763062935892070,10
1583763063035059222,3
1583763063136177313,0
1583763063237066723,0
1583763063336139694,0
1583763063434302786,0
1583763063535700532,0
1583763063635321770,0
1583763063735319215,0
1583763063837470428,0
1583763063936300961,0
1583763064045215793,0
1583763064134262394,0
1583763064236126249,0
1583763064334691408,0
1583763064435655641,0
1583763064526103173,0
1583763064635112576,0
1583763064737567455,0
1583763064836940094,0
1583763064934858724,0
1583763065021080238,0
1583763065126018230,0
1583763065219256574,0
1583763065319723843,0
1583763065428041035,0
1583763065522082974,0
1583763065633375655,0
1583763065729628230,0
1583763065836798663,0
1583763065936275453,0
1583763066036466443,0
1583763066120972215,0
1583763066240877222,0
1583763066325501870,0
1583763066426880368,0
1583763066522178445,0
1583763066621647082,0
1583763066721101467,0
1583763066819773429,0
1583763066926197765,0
1583763067019392743,0
1583763067122928184,0
1583763067226467449,0
1583763067322045929,0
1583763067420909697,0
1583763067525017516,0
1583763067623521236,0
1583763067736620996,0
1583763067825061209,0
1583763067925412397,0
1583763068037287839,0
1583763068127562319,0
1583763068224818555,0
1583763068324091908,0
1583763068431951579,0
1583763068527283339,0
1583763068624682662,0
1583763068725564243,0
1583763068825103872,0
1583763068922082726,0
1583763069019895992,0
1583763069130601549,0
1583763069236543068,0
1583763069332200703,0
1583763069419828836,0
1583763069522530416,0
1583763069629601825,0
1583763069731836281,0
1583763069827628643,0
1583763069928716205,0
1583763070028834344,0
1583763070120835852,0
1583763070225439288,0
1583763070329429147,0
1583763070423156196,0
1583763070529010485,0
1583763070620169716,0
1583763070735293334,0
1583763070830664049,0
1583763070923269539,363
1583763071033511000,2138
1583763071129818457,3609
1583763071222905502,4163
1583763071335794277,4297
1583763071426414143,4578
1583763071530617496,4609
1583763071624378274,4659
1583763071730928769,4627
1583763071828758227,4734
1583763071937798170,4693
1583763072025669149,4694
1583763072131468694,4706
1583763072225956147,4695
1583763072331388916,4683
1583763072426747281,4693
1583763072532162551,4643
1583763072627799357,4783
1583763072732281828,4677
1583763072825401314,4713
1583763072932812210,4709
1583763073024383859,4665
1583763073135968143,4708
1583763073230300890,4640
1583763073333635602,4756
1583763073419466825,4639
1583763073533727799,4708
1583763073627429822,4725
1583763073738925617,4653
1583763073828969706,4682
1583763073935915821,4180
1583763074033420545,2086
1583763074134062421,1121
1583763074228720594,532
1583763074335944363,321
1583763074425013112,170
1583763074517362175,92
1583763074617799336,40
1583763074725265338,23
1583763074819365318,8
1583763074918817237,4
1583763075024711966,0
1583763075121609195,0
1583763075220490611,1
1583763075326073334,0
1583763075418830504,0
1583763075517917953,0
1583763075625102049,0
1583763075718697713,0
1583763075818657003,0
1583763075924124809,0
1583763076019286359,0
1583763076120239542,0
1583763076225087647,0
1583763076320344748,0
1583763076419513994,0
1583763076517611067,0
1583763076618755528,0
1583763076718772097,0
1583763076817602655,0
1583763076918682868,0
1583763077017891789,0
1583763077125084527,0
1583763077218836989,0
1583763077317491067,0
1583763077425495094,0
1583763077521300681,0
1583763077623702975,0
1583763077725235739,0
1583763077821315408,0
1583763077917600091,0
1583763078027269671,0
1583763078118737281,1
1583763078222999216,0
1583763078325013745,0
1583763078418833494,0
1583763078518852160,0
1583763078617764882,0
1583763078717781624,0
1583763078818911301,0
1583763078923389050,0
1583763079018724544,0
1583763079117476318,0
1583763079223243060,0
1583763079317918424,0
1583763079422063096,0
1583763079523882100,0
1583763079619895565,0
1583763079717593189,0
1583763079820830943,0
1583763079918759014,0
1583763080020567292,0
1583763080125445177,0
1583763080217662723,0
1583763080318859584,0
